Folder,Subfolder (H value),File,Central enthalpy,Central proper baryon density,Central proper energy density,Central pressure,Coordinate equatorial radius,Coordinate polar radius,Baryon mass,Gravitational mass,Omega,f,Rotation period,Compactness,Quadrupole moment Q,Angular momentum J,Moment of inertia,Circumferential equatorial radius,Circumferential polar radius,Surface area,Mean radius,Coordinate equatorial radius r_eq,Redshift at the equator (forward),Redshift at the equator (backward),Redshift at the pole
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1000,result.txt,0.1,3.442136229,3.605957802,0.1981910542,14.10123584,9.392558385,0.7128607107,0.6870255648,4498.76068,716,1.396648045,0.06696085246,-0.07574699072,0.2951950547,0.5776335346,15.1510188,12.65519674,2204.69982,13.24554405,14.10123584,-0.1615705719,0.3802757569,0.1076623897
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1081,result.txt,0.1081,3.599727349,3.780823634,0.2298455497,12.91947732,9.338705467,0.7748456497,0.7433445858,4498.76068,716,1.396648045,0.07806549981,-0.07633425721,0.3240706633,0.6341369196,14.06115356,12.20983852,2026.823145,12.69997879,12.91947732,-0.1370448798,0.3774043204,0.1180991534
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1162,result.txt,0.1162,3.747881869,3.94655553,0.2631421928,12.32220934,9.288949845,0.8358033455,0.798263187,4498.76068,716,1.396648045,0.08698175442,-0.07669974385,0.3531139943,0.6909685017,13.55213913,11.99467594,1940.302029,12.42595387,12.32220934,-0.1220731485,0.3838605489,0.1284650837
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1242,result.txt,0.1242,3.887050013,4.103494205,0.2975882294,11.91792372,9.242168852,0.8950522871,0.8511868585,4498.76068,716,1.396648045,0.09498671978,-0.0770498871,0.3820383997,0.7475673718,13.23280561,11.86121857,1886.109752,12.2511977,11.91792372,-0.1103189997,0.3931739877,0.138657355
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1323,result.txt,0.1323,4.021657601,4.256516836,0.33400706,11.60303766,9.193466157,0.9543547657,0.9036649784,4498.76068,716,1.396648045,0.1026300773,-0.07758254688,0.4117790942,0.8057635447,13.00237563,11.76648997,1847.265676,12.12438583,11.60303766,-0.09993677843,0.4041675603,0.1489894621
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1404,result.txt,0.1404,4.150378262,4.404037398,0.3719439828,11.34965451,9.147293439,1.011955596,0.9542529397,4498.76068,716,1.396648045,0.1098280295,-0.07772951671,0.4408874863,0.8627224374,12.83040094,11.69915089,1819.013308,12.03131247,11.34965451,-0.0906269695,0.4159175398,0.1591615679
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1485,result.txt,0.1485,4.2743155,4.547232201,0.4113704265,11.13413484,9.100162289,1.068705143,1.003629415,4498.76068,716,1.396648045,0.1167456553,-0.0780167877,0.4701855912,0.9200525573,12.69470366,11.64728671,1796.943674,11.95810328,11.13413484,-0.08192613265,0.4282960041,0.169329667
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1566,result.txt,0.1566,4.394248363,4.686927433,0.452267789,10.94712763,9.053165958,1.124122893,1.051442611,4498.76068,716,1.396648045,0.1233709469,-0.07813793842,0.499105181,0.9766420042,12.58527149,11.60693685,1779.411354,11.89962421,10.94712763,-0.07372662406,0.4410193798,0.1794102612
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1646,result.txt,0.1646,4.508670784,4.821281661,0.4940870642,10.78303372,9.007652644,1.177098001,1.096819827,4498.76068,716,1.396648045,0.1296267503,-0.07786934775,0.5267440449,1.030725345,12.49483634,11.57540883,1765.362129,11.85255477,10.78303372,-0.06603356846,0.453671121,0.1892051307
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1727,result.txt,0.1727,4.621233302,4.954520186,0.5378594886,10.63275276,8.959885515,1.229803868,1.141566176,4498.76068,716,1.396648045,0.1357534013,-0.07796323658,0.554843572,1.085710104,12.41767491,11.54834763,1753.287639,11.81195146,10.63275276,-0.05850842655,0.4667366108,0.1991021863
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1808,result.txt,0.1808,4.730605539,5.0850359,0.5830598518,10.49499105,8.912599112,1.28111159,1.184775976,4498.76068,716,1.396648045,0.1416549656,-0.07787015916,0.5823121999,1.139460329,12.35077897,11.52535187,1742.873382,11.77681863,10.49499105,-0.05122769928,0.4798633302,0.2088998131
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1889,result.txt,0.1889,4.837322279,5.213418248,0.6296808267,10.36694427,8.866415076,1.33079777,1.226313432,4498.76068,716,1.396648045,0.1473352327,-0.07735117323,0.608767742,1.191228162,12.29093112,11.50547875,1733.702115,11.74579204,10.36694427,-0.0441612042,0.4929285745,0.2185572299
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.1970,result.txt,0.197,4.941525578,5.33979694,0.6777163854,10.24733617,8.819166999,1.379174582,1.266447294,4498.76068,716,1.396648045,0.1528218372,-0.07692371081,0.6347570897,1.242083753,12.23746935,11.48755237,1725.506327,11.71799602,10.24733617,-0.03726895476,0.5060004024,0.2281228214
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.2051,result.txt,0.2051,5.04349548,5.464472469,0.7271637805,10.13492703,8.771177257,1.426343983,1.305265448,4498.76068,716,1.396648045,0.1581268817,-0.07667835347,0.6603601734,1.292183507,12.18942019,11.47074904,1717.970948,11.69238146,10.13492703,-0.03052287885,0.5190936013,0.2376152662
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.2131,result.txt,0.2131,5.142041757,5.585936124,0.777383723,10.02972851,8.72389273,1.471632984,1.342253144,4498.76068,716,1.396648045,0.1631915425,-0.07639249775,0.6849972283,1.34039295,12.14581595,11.45505321,1711.01618,11.66869064,10.02972851,-0.02399215051,0.5319808731,0.2468953664
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.2212,result.txt,0.2212,5.239935636,5.707571249,0.8296305542,9.928419297,8.676611698,1.51608784,1.378305798,4498.76068,716,1.396648045,0.1681434794,-0.07594874236,0.7091226535,1.387601243,12.10474002,11.43999624,1704.394159,11.64608851,9.928419297,-0.01751258676,0.5449345841,0.2561735577
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.2293,result.txt,0.2293,5.336110005,5.828041505,0.883287026,9.831442025,8.630356572,1.559032441,1.412909659,4498.76068,716,1.396648045,0.1729234024,-0.07519780696,0.7322043785,1.432767238,12.06564478,11.42562547,1698.093127,11.62454117,9.831442025,-0.01115970839,0.5577326219,0.2653107031
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.2374,result.txt,0.2374,5.430601522,5.947366658,0.9383547435,9.737991438,8.583935641,1.600801368,1.446310894,4498.76068,716,1.396648045,0.177561544,-0.07442537398,0.7546543582,1.476697043,12.02825586,11.41130441,1691.967314,11.60355466,9.737991438,-0.004892302335,0.5704578069,0.2743635849
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.2455,result.txt,0.2455,5.523580501,6.065736631,0.9948369466,9.648307405,8.536460668,1.641530857,1.478626636,4498.76068,716,1.396648045,0.1820596775,-0.07389907849,0.7767481473,1.519929859,11.99318877,11.39673715,1685.98348,11.58301785,9.648307405,0.001289504336,0.5831605923,0.2833519404
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.2535,result.txt,0.2535,5.614000448,6.181779378,1.052013908,9.5631256,8.489737473,1.68048829,1.509338996,4498.76068,716,1.396648045,0.1863550509,-0.07341443058,0.7978680247,1.561256938,11.96012002,11.38233722,1680.212418,11.56317672,9.5631256,0.007293152705,0.5955890656,0.2921160958
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.2616,result.txt,0.2616,5.704347687,6.298665856,1.111320784,9.479860594,8.44288284,1.718751996,1.539301431,4498.76068,716,1.396648045,0.1905675389,-0.07292758449,0.8185766443,1.601779274,11.92791844,11.36767986,1674.45312,11.54334204,9.479860594,0.0132836724,0.6080688088,0.3008893636
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.2697,result.txt,0.2697,5.793397333,6.414810603,1.172057551,9.399297404,8.396567587,1.755807371,1.568130139,4498.76068,716,1.396648045,0.1946465018,-0.07237797352,0.8385207007,1.640805523,11.89666993,11.35291677,1668.747963,11.52366016,9.399297404,0.01918710534,0.620422082,0.309553292
Nrotstar_(APR100)_(0.06-0.9)_4499Hz_nrot,0.2778,result.txt,0.2778,5.881133289,6.530172623,1.234229672,9.321146724,8.350725025,1.791675775,1.595857147,4498.76068,716,1.396648045,0.1985981615,-0.07176199777,0.8576878542,1.67831154,11.86611908,11.33793886,1663.058351,11.50399837,9.321146724,0.025009242,0.6326426206,0.3181083695
