Folder,Subfolder (H value),File,Central enthalpy,Central proper baryon density,Central proper energy density,Central pressure,Coordinate equatorial radius,Coordinate polar radius,Baryon mass,Gravitational mass,Omega,f,Rotation period,Compactness,Quadrupole moment Q,Angular momentum J,Moment of inertia,Circumferential equatorial radius,Circumferential polar radius,Surface area,Mean radius,Coordinate equatorial radius r_eq,Redshift at the equator (forward),Redshift at the equator (backward),Redshift at the pole
Nrotstar_(APR100)_(0.06-0.9)_stat_nrot,0.0600,result.txt,0.06,2.450494693,2.533269842,0.06875497979,12.56535944,12.56535944,0.3004319074,0.2972555044,0,0,N/A,0.03374457892,-9.966573835e-08,0,N/A,13.00815806,13.00815733,2126.382797,13.00815769,12.56535944,0.03555548952,0.03555548952,0.03555548952
Nrotstar_(APR100)_(0.06-0.9)_stat_nrot,0.0685,result.txt,0.0685,2.702658635,2.802148217,0.09213060414,11.83632769,11.83632769,0.365446206,0.3597446052,0,0,N/A,0.04293299499,9.905370948e-07,0,N/A,12.37351295,12.37351696,1923.960003,12.37351496,11.83632769,0.04591194275,0.04591194275,0.04591194275
Nrotstar_(APR100)_(0.06-0.9)_stat_nrot,0.0770,result.txt,0.077,2.928193376,3.044684613,0.1178874401,11.3766824,11.3766824,0.4313727346,0.4224594425,0,0,N/A,0.05194762528,8.554442194e-07,0,N/A,12.00906611,12.00906907,1812.293122,12.00906759,11.3766824,0.05638069232,0.05638069232,0.05638069232
Nrotstar_(APR100)_(0.06-0.9)_stat_nrot,0.0855,result.txt,0.0855,3.131806588,3.265518,0.1458385341,11.06114342,11.06114342,0.4973421055,0.4846010867,0,0,N/A,0.06070470318,1.102758971e-06,0,N/A,11.7883211,11.78832453,1746.280097,11.78832281,11.06114342,0.06685873845,0.06685873845,0.06685873845
Nrotstar_(APR100)_(0.06-0.9)_stat_nrot,0.0939,result.txt,0.0939,3.316422441,3.467449705,0.1754741785,10.83113864,10.83113864,0.5621956544,0.5451161932,0,0,N/A,0.0690898446,2.831501868e-06,0,N/A,11.65104234,11.65105095,1705.845704,11.65104665,10.83113864,0.07718802094,0.07718802094,0.07718802094
Nrotstar_(APR100)_(0.06-0.9)_stat_nrot,0.1024,result.txt,0.1024,3.489775749,3.658670685,0.2073954175,10.64266204,10.64266204,0.6281052,0.6059469823,0,0,N/A,0.07742950536,-2.39139534e-06,0,N/A,11.55627998,11.55627351,1678.207784,11.55627674,10.64266204,0.08776578128,0.08776578128,0.08776578128
Nrotstar_(APR100)_(0.06-0.9)_stat_nrot,0.1109,result.txt,0.1109,3.651834433,3.838960344,0.2411728191,10.49275424,10.49275424,0.6924823443,0.6648703333,0,0,N/A,0.085392929,-5.024563494e-07,0,N/A,11.49754076,11.49753866,1661.1915,11.49753971,10.49275424,0.09816349516,0.09816349516,0.09816349516
Nrotstar_(APR100)_(0.06-0.9)_stat_nrot,0.1194,result.txt,0.1194,3.804332908,4.010063744,0.2767367793,10.36355723,10.36355723,0.756023634,0.7224789858,0,0,N/A,0.09311308042,1.802506982e-06,0,N/A,11.45788445,11.45788994,1649.753083,11.4578872,10.36355723,0.108531777,0.108531777,0.108531777
Nrotstar_(APR100)_(0.06-0.9)_stat_nrot,0.1279,result.txt,0.1279,3.949272796,4.174075491,0.3140335311,10.24845655,10.24845655,0.8188598651,0.7788823914,0,0,N/A,0.1006193696,-6.949430791e-07,0,N/A,11.43089424,11.43089227,1641.988846,11.43089326,10.24845655,0.1189000473,0.1189000473,0.1189000473
Nrotstar_(APR100)_(0.06-0.9)_stat_nrot,0.1364,result.txt,0.1364,4.087538846,4.33187092,0.3530219079,10.1438652,10.1438652,0.8805480916,0.8337373076,0,0,N/A,0.1078801873,-4.061973595e-06,0,N/A,11.4124124,11.4124035,1636.682501,11.41240795,10.1438652,0.1292122493,0.1292122493,0.1292122493
Nrotstar_(APR100)_(0.06-0.9)_stat_nrot,0.1448,result.txt,0.1448,4.218205129,4.48225954,0.3931773195,10.05108321,10.05108321,0.9395437079,0.8858244309,0,0,N/A,0.1147274983,6.181331855e-06,0,N/A,11.40171139,11.40172611,1633.618007,11.40171875,10.05108321,0.1392032352,0.1392032352,0.1392032352
