Folder,Subfolder (H value),File,Central enthalpy,Central proper baryon density,Central proper energy density,Central pressure,Coordinate equatorial radius,Coordinate polar radius,Baryon mass,Gravitational mass,Omega,f,Rotation period,Compactness,Quadrupole moment Q,Angular momentum J,Moment of inertia,Circumferential equatorial radius,Circumferential polar radius,Surface area,Mean radius,Coordinate equatorial radius r_eq,Redshift at the equator (forward),Redshift at the equator (backward),Redshift at the pole
Nrotstar_(BBB100)_(0.05-0.8)_363Hz_nrot,0.0500,result.txt,0.0727,2.76376021,2.865000433,0.1071690371,12.16905058,10.87082118,0.4212720177,0.4129689779,2280.796267,363,2.754820937,0.04768088093,-0.01186432476,0.06392827879,0.2467418005,12.78977992,12.13017239,1911.616171,12.3337578,12.16905058,-0.05095525958,0.1653744833,0.05701350432
Nrotstar_(BBB100)_(0.05-0.8)_363Hz_nrot,0.0576,result.txt,0.0576,2.406343969,2.483586748,0.06543222926,15.07131386,11.81199918,0.2934829302,0.2906234585,2280.796267,363,2.754820937,0.02767845207,-0.009700688603,0.04001428565,0.1544417756,15.5052503,13.7820675,2549.334207,14.24322893,15.07131386,-0.0891607869,0.1624828011,0.03656616452
Nrotstar_(BBB100)_(0.05-0.8)_363Hz_nrot,0.0652,result.txt,0.0652,2.592405899,2.681416828,0.08564587917,13.00983502,11.21938509,0.3570532624,0.3517741907,2280.796267,363,2.754820937,0.03837329069,-0.01078114393,0.05139817505,0.1983797859,13.53707522,12.62043819,2089.178599,12.89385708,13.00983502,-0.06525707411,0.1591921537,0.04682308445
Nrotstar_(BBB100)_(0.05-0.8)_363Hz_nrot,0.0727,result.txt,0.0727,2.76376021,2.865000433,0.1071690371,12.16905058,10.87082118,0.4212720177,0.4129689779,2280.796267,363,2.754820937,0.04768088093,-0.01186432476,0.06392827879,0.2467418005,12.78977992,12.13017239,1911.616171,12.3337578,12.16905058,-0.05095525958,0.1653744833,0.05701350432
Nrotstar_(BBB100)_(0.05-0.8)_363Hz_nrot,0.0803,result.txt,0.0803,2.938835779,3.053999858,0.1305581603,11.67943497,10.63731072,0.4863826981,0.4744181945,2280.796267,363,2.754820937,0.05652301977,-0.01293761604,0.07747129716,0.2990133274,12.394411,11.86575673,1819.148764,12.03176043,11.67943497,-0.03936749362,0.1744241302,0.06727567108
Nrotstar_(BBB100)_(0.05-0.8)_363Hz_nrot,0.0879,result.txt,0.0879,3.119233735,3.250223396,0.1556021936,11.35959721,10.47323553,0.549937314,0.5338550183,2280.796267,363,2.754820937,0.0647982171,-0.01385852886,0.09131467356,0.3524441358,12.1660665,11.7160206,1767.210935,11.85875954,11.35959721,-0.02932589368,0.1845111933,0.07728054473
Nrotstar_(BBB100)_(0.05-0.8)_363Hz_nrot,0.0955,result.txt,0.0955,3.29157079,3.439105546,0.1823096763,11.12515129,10.34302179,0.6117714053,0.5911536928,2280.796267,363,2.754820937,0.07262343659,-0.01484188546,0.1052835637,0.4063593854,12.02025065,11.62232878,1734.766687,11.74939771,11.12515129,-0.02012952778,0.1950208747,0.08707137188
Nrotstar_(BBB100)_(0.05-0.8)_363Hz_nrot,0.1030,result.txt,0.103,3.454155531,3.61865061,0.2102511218,10.93700368,10.23261655,0.6717204537,0.6461593379,2280.796267,363,2.754820937,0.08006524399,-0.0156487219,0.119185453,0.4600160341,11.91750949,11.55822593,1712.4364,11.67353241,10.93700368,-0.01145537499,0.205646681,0.09665681916
Nrotstar_(BBB100)_(0.05-0.8)_363Hz_nrot,0.1106,result.txt,0.1106,3.612846552,3.79522455,0.240137319,10.78685938,10.1450839,0.7297193099,0.6990458538,2280.796267,363,2.754820937,0.08711442787,-0.01599250189,0.1328265555,0.512666133,11.84964906,11.52140096,1698.843802,11.62711032,10.78685938,-0.003287855038,0.2162742659,0.1059888368
Nrotstar_(BBB100)_(0.05-0.8)_363Hz_nrot,0.1182,result.txt,0.1182,3.766645747,3.9676616,0.2715821109,10.6487407,10.05466856,0.7872557244,0.7509311556,2280.796267,363,2.754820937,0.09403094498,-0.01674996786,0.1467173781,0.5662800678,11.79286252,11.4879679,1686.980207,11.58644119,10.6487407,0.004854553235,0.2271073208,0.1154066745
