Folder,Subfolder (H value),File,Central enthalpy,Central proper baryon density,Central proper energy density,Central pressure,Coordinate equatorial radius,Coordinate polar radius,Baryon mass,Gravitational mass,Omega,f,Rotation period,Compactness,Quadrupole moment Q,Angular momentum J,Moment of inertia,Circumferential equatorial radius,Circumferential polar radius,Surface area,Mean radius,Coordinate equatorial radius r_eq,Redshift at the equator (forward),Redshift at the equator (backward),Redshift at the pole
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.0500,result.txt,0.05,2.186205237,2.251311644,0.0469827326,13.96548345,13.96548345,0.2179217605,0.2169845903,0,0,N/A,0.0224261656,7.404710309e-08,0,N/A,14.28774797,14.28774822,2565.2957,14.28774809,13.96548345,0.02321051297,0.02321051297,0.02321051297
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.0576,result.txt,0.0576,2.406343969,2.483586748,0.06543222926,12.51969235,12.51969235,0.2773855473,0.2748287453,0,0,N/A,0.03139014458,2.707388112e-07,0,N/A,12.92881593,12.92881641,2100.522727,12.92881617,12.51969235,0.0329500066,0.0329500066,0.0329500066
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.0652,result.txt,0.0652,2.592405899,2.681416828,0.08564587917,11.76063258,11.76063258,0.3399649293,0.3351071606,0,0,N/A,0.04036067909,-1.52403031e-07,0,N/A,12.2606969,12.26069613,1889.035629,12.26069652,11.76063258,0.04298170486,0.04298170486,0.04298170486
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.0727,result.txt,0.0727,2.76376021,2.865000433,0.1071690371,11.32548863,11.32548863,0.4029481187,0.3952215248,0,0,N/A,0.04897531433,4.886072706e-07,0,N/A,11.91662493,11.91662587,1784.499535,11.9166254,11.32548863,0.05289459836,0.05289459836,0.05289459836
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.0803,result.txt,0.0803,2.938835779,3.053999858,0.1305581603,11.03543549,11.03543549,0.4670160672,0.4557795938,0,0,N/A,0.05743331838,3.389880557e-07,0,N/A,11.71873897,11.71873935,1725.725194,11.71873916,11.03543549,0.06290772079,0.06290772079,0.06290772079
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.0879,result.txt,0.0879,3.119233735,3.250223396,0.1556021936,10.83076884,10.83076884,0.5298893127,0.514654724,0,0,N/A,0.06549299178,-1.463172277e-07,0,N/A,11.60408889,11.60408681,1692.12281,11.60408785,10.83076884,0.07272065583,0.07272065583,0.07272065583
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.0955,result.txt,0.0955,3.29157079,3.439105546,0.1823096763,10.67455485,10.67455485,0.5908464533,0.5712459628,0,0,N/A,0.07313141932,1.665961638e-06,0,N/A,11.53477307,11.53477705,1671.968625,11.53477506,10.67455485,0.08227661435,0.08227661435,0.08227661435
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1030,result.txt,0.103,3.454155531,3.61865061,0.2102511218,10.54301617,10.54301617,0.6501343079,0.6257457837,0,0,N/A,0.08043960349,-2.460113627e-06,0,N/A,11.48729896,11.48729476,1658.232998,11.48729686,10.54301617,0.09165973778,0.09165973778,0.09165973778
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1106,result.txt,0.1106,3.612846552,3.79522455,0.240137319,10.43469145,10.43469145,0.7078498502,0.6784467396,0,0,N/A,0.08741762915,2.515153216e-06,0,N/A,11.46058137,11.46058609,1650.52969,11.46058373,10.43469145,0.1008537688,0.1008537688,0.1008537688
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1182,result.txt,0.1182,3.766645747,3.9676616,0.2715821109,10.33171504,10.33171504,0.7647906852,0.7299139988,0,0,N/A,0.09423724334,-1.488917469e-06,0,N/A,11.43770873,11.4377068,1643.947167,11.43770776,10.33171504,0.1100680807,0.1100680807,0.1100680807
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1258,result.txt,0.1258,3.916519761,4.13698028,0.3045698481,10.24178207,10.24178207,0.8195784012,0.7791212658,0,0,N/A,0.1007056828,3.776170815e-06,0,N/A,11.42459973,11.42460645,1640.182242,11.42460309,10.24178207,0.1190217877,0.1190217877,0.1190217877
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1333,result.txt,0.1333,4.064813808,4.305792575,0.3386341102,10.15189758,10.15189758,0.8732898027,0.8268162501,0,0,N/A,0.1070110768,-1.05900121e-05,0,N/A,11.40959378,11.40957308,1635.872459,11.40958343,10.15189758,0.1279614177,0.1279614177,0.1279614177
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1409,result.txt,0.1409,4.216544457,4.479817072,0.3747306671,10.07296684,10.07296684,0.9242558523,0.8719442587,0,0,N/A,0.1129301847,4.713138697e-06,0,N/A,11.40167341,11.40168478,1633.606644,11.4016791,10.07296684,0.1365532359,0.1365532359,0.1365532359
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1485,result.txt,0.1485,4.365271925,4.651698669,0.4124218513,9.993515896,9.993515896,0.9742658065,0.915787844,0,0,N/A,0.1187136969,5.801045966e-06,0,N/A,11.39157983,11.39159115,1630.715546,11.39158549,9.993515896,0.1451423506,0.1451423506,0.1451423506
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1561,result.txt,0.1561,4.511298254,4.82174624,0.4517046886,9.91252468,9.91252468,1.023538469,0.9585149714,0,0,N/A,0.1243944855,-1.470408773e-05,0,N/A,11.37857,11.37854058,1626.98711,11.37855529,9.91252468,0.1537728172,0.1537728172,0.1537728172
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1636,result.txt,0.1636,4.65300598,4.98801558,0.4920302173,9.839859319,9.839859319,1.069107278,0.9979633581,0,0,N/A,0.1296259536,-1.035522943e-06,0,N/A,11.3687455,11.36874291,1624.182602,11.36874421,9.839859319,0.1618917989,0.1618917989,0.1618917989
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1712,result.txt,0.1712,4.794391578,5.15516427,0.5344747991,9.766619091,9.766619091,1.113956112,1.036490295,0,0,N/A,0.1347678337,8.761856127e-06,0,N/A,11.35713807,11.35715458,1620.870458,11.35714633,9.766619091,0.1700405251,0.1700405251,0.1700405251
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1788,result.txt,0.1788,4.933739511,5.321160894,0.5785138539,9.692901728,9.692901728,1.157769323,1.073790145,0,0,N/A,0.1397870087,5.930801305e-06,0,N/A,11.34338089,11.3433931,1616.945425,11.343387,9.692901728,0.1781621845,0.1781621845,0.1781621845
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1864,result.txt,0.1864,5.071299677,5.486278277,0.6241516264,9.618827836,9.618827836,1.200666105,1.109967642,0,0,N/A,0.1446958355,-1.297560653e-05,0,N/A,11.32776419,11.32774178,1612.491389,11.32775298,9.618827836,0.186271766,0.186271766,0.186271766
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.1939,result.txt,0.1939,5.205424317,5.648491925,0.670762433,9.549249417,9.549249417,1.240740013,1.143677369,0,0,N/A,0.1492877179,-6.50569327e-06,0,N/A,11.31278052,11.31277112,1608.230247,11.31277582,9.549249417,0.1940115638,0.1940115638,0.1940115638
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.2015,result.txt,0.2015,5.339735486,5.812162272,0.7195956703,9.480029653,9.480029653,1.279882933,1.176415137,0,0,N/A,0.153778583,4.184922714e-06,0,N/A,11.29677977,11.29678916,1603.686781,11.29678446,9.480029653,0.2017302003,0.2017302003,0.2017302003
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.2091,result.txt,0.2091,5.472541755,5.975233472,0.770047738,9.410995356,9.410995356,1.317880494,1.207956393,0,0,N/A,0.1581469345,8.588406659e-06,0,N/A,11.27925439,11.27927201,1598.716017,11.2792632,9.410995356,0.2093847229,0.2093847229,0.2093847229
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.2167,result.txt,0.2167,5.603938146,6.137804412,0.8221268,9.342511483,9.342511483,1.354788004,1.23837113,0,0,N/A,0.162396573,7.283555791e-06,0,N/A,11.26066067,11.26067455,1593.448906,11.26066761,9.342511483,0.216974049,0.216974049,0.216974049
Nrotstar_(BBB100)_(0.05-0.8)_stat_nrot,0.2242,result.txt,0.2242,5.732305351,6.297831193,0.8751243537,9.275251072,9.275251072,1.390148712,1.267293381,0,0,N/A,0.1664791119,-1.177619544e-06,0,N/A,11.24106164,11.24106003,1587.904796,11.24106084,9.275251072,0.2244020089,0.2244020089,0.2244020089
