Folder,Subfolder (H value),File,Central enthalpy,Central proper baryon density,Central proper energy density,Central pressure,Coordinate equatorial radius,Coordinate polar radius,Baryon mass,Gravitational mass,Omega,f,Rotation period,Compactness,Quadrupole moment Q,Angular momentum J,Moment of inertia,Circumferential equatorial radius,Circumferential polar radius,Surface area,Mean radius,Coordinate equatorial radius r_eq,Redshift at the equator (forward),Redshift at the equator (backward),Redshift at the pole
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.0600,result.txt,0.06,1.872312687,1.934871293,0.05321874466,16.41346421,12.83677091,0.4072878745,0.4012403919,2280.796267,363,2.754820937,0.03482171111,-0.02757083142,0.08637933269,0.3333953687,17.01548964,15.14673658,3080.118501,15.65592675,16.41346421,-0.0939794593,0.1869343165,0.04628499545
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.0655,result.txt,0.0655,2.043944551,2.117617161,0.06468759178,15.25810013,12.57946198,0.4512190602,0.4432314922,2280.796267,363,2.754820937,0.0411009791,-0.02820273763,0.09716421122,0.3750213971,15.92459351,14.54743736,2806.878407,14.94537676,15.25810013,-0.08052262266,0.1857314855,0.05236831208
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.0709,result.txt,0.0709,2.210459324,2.295883903,0.07698642904,14.55735951,12.36573212,0.4927176409,0.4826662285,2280.796267,363,2.754820937,0.04663236894,-0.02876705603,0.1072495014,0.413947248,15.28443354,14.16535434,2641.514803,14.49845058,14.55735951,-0.07078627558,0.1877615734,0.05821111577
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.0764,result.txt,0.0764,2.378794573,2.477084783,0.09057239067,14.04170282,12.18376156,0.5331770317,0.5209081926,2280.796267,363,2.754820937,0.0518782093,-0.02845255392,0.1167302838,0.4505399013,14.82743825,13.88166311,2522.656945,14.16850949,14.04170282,-0.06251447833,0.1911588148,0.0640066244
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.0818,result.txt,0.0818,2.54392122,2.655803259,0.1049586016,13.64361301,12.01914907,0.571485594,0.5569159479,2280.796267,363,2.754820937,0.05677655304,-0.02843933383,0.1256057481,0.4847962283,14.4847347,13.6588984,2432.356797,13.91261312,13.64361301,-0.05529117344,0.1952050775,0.069603695
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.0873,result.txt,0.0873,2.710842559,2.837451204,0.1206852514,13.30993059,11.86961011,0.6092802715,0.5922486403,2280.796267,363,2.754820937,0.06156556468,-0.02799567793,0.1341922548,0.5179372759,14.20548671,13.47354968,2358.799106,13.70063023,13.30993059,-0.04854302876,0.1997674961,0.0752213368
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.0927,result.txt,0.0927,2.873615566,3.015552974,0.1371841886,13.0348178,11.73407913,0.6450465584,0.6255342578,2280.796267,363,2.754820937,0.06606604131,-0.02778665679,0.1422511361,0.5490418656,13.98178848,13.32043867,2299.410374,13.52705672,13.0348178,-0.04239955116,0.2045076921,0.08062665242
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.0982,result.txt,0.0982,3.038503233,3.196954594,0.1550717323,12.77899311,11.60128639,0.6802809024,0.6581171901,2280.796267,363,2.754820937,0.07054418486,-0.02701819558,0.1497974942,0.5781682868,13.77627896,13.17713081,2244.802368,13.36546657,12.77899311,-0.03633601908,0.2094483153,0.0860925215
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.1036,result.txt,0.1036,3.199707927,3.375273672,0.1737038239,12.56580528,11.48183371,0.7138359466,0.6890408988,2280.796267,363,2.754820937,0.07475537609,-0.02679341584,0.1571619398,0.6065925869,13.61107676,13.05908499,2200.67149,13.23343768,12.56580528,-0.03076187156,0.2144625447,0.09135084335
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.1091,result.txt,0.1091,3.36319664,3.557107478,0.193777861,12.36044716,11.36289641,0.7467492009,0.7191895502,2280.796267,363,2.754820937,0.07894572364,-0.02605568419,0.1639483787,0.6327859741,13.45255176,12.94396288,2158.237683,13.1052317,12.36044716,-0.02518623713,0.2195742999,0.09665925817
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.1145,result.txt,0.1145,3.523042446,3.735861225,0.2145708048,12.17992131,11.25439548,0.7779997181,0.7477132531,2280.796267,363,2.754820937,0.08291596709,-0.02534532,0.1703514545,0.6574997077,13.31639966,12.84396667,2121.843135,12.99426457,12.17992131,-0.01994376263,0.2246286589,0.1017733853
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.1200,result.txt,0.12,3.685274977,3.918275521,0.236860413,12.00735035,11.14480443,0.8090910041,0.7759297609,2280.796267,363,2.754820937,0.08688352721,-0.02480213743,0.1766647477,0.6818669104,13.18787673,12.74718375,2087.241855,12.88787916,12.00735035,-0.01469099374,0.2298320536,0.1069662859
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.1255,result.txt,0.1255,3.847025959,4.101151466,0.2602802191,11.84235652,11.03491857,0.8392708356,0.8031528455,2280.796267,363,2.754820937,0.09077362062,-0.02441045754,0.1826049312,0.7047940345,13.0655729,12.65227262,2053.893015,12.78450675,11.84235652,-0.009493604675,0.2350530478,0.1121403489
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.1309,result.txt,0.1309,4.005446686,4.281241064,0.2843825223,11.69701396,10.93854048,0.8674195864,0.8285282976,2280.796267,363,2.754820937,0.09440474585,-0.02367168226,0.1879710226,0.7255053547,12.95995315,12.57123844,2025.514984,12.69587969,11.69701396,-0.004657088467,0.2400701434,0.1170344719
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.1364,result.txt,0.1364,4.166348187,4.465150344,0.3100690412,11.55315416,10.84103638,0.8955060392,0.853686264,2280.796267,363,2.754820937,0.09806100874,-0.02281560623,0.1931860081,0.7456334563,12.85558518,12.49012536,1997.419572,12.60752153,11.55315416,0.0002590875975,0.2452085216,0.1220283923
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.1418,result.txt,0.1418,4.323994858,4.646324116,0.3364147385,11.4147089,10.74356761,0.9226579423,0.8778279221,2280.796267,363,2.754820937,0.1016277231,-0.02208366299,0.1981508801,0.7647962037,12.75519517,12.41048432,1970.252063,12.52148863,11.4147089,0.005107982909,0.250306344,0.1269686187
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.1473,result.txt,0.1473,4.484279642,4.831536401,0.3644052425,11.28516458,10.64710919,0.9491949723,0.9013741944,2280.796267,363,2.754820937,0.1051133882,-0.02191119354,0.2030442951,0.7836831511,12.66301141,12.33463289,1944.851799,12.44051401,11.28516458,0.009872769376,0.2554434228,0.1318855355
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.1527,result.txt,0.1527,4.641420868,5.014108572,0.3930327171,11.16410803,10.55892794,0.9740616286,0.9233956086,2280.796267,363,2.754820937,0.1084197112,-0.02121315562,0.2073240108,0.8002014239,12.57678023,12.26492206,1921.501805,12.36560776,11.16410803,0.01442393543,0.2603693328,0.136592692
Nrotstar_(BPAL100)_(0.06-0.6)_363Hz_nrot,0.1582,result.txt,0.1582,4.801280671,5.200854301,0.4233680433,11.04383638,10.46955425,0.9988171527,0.9451926747,2280.796267,363,2.754820937,0.1117403545,-0.02052483174,0.211489618,0.8162792763,12.49108648,12.19480895,1898.263404,12.29060625,11.04383638,0.01904353349,0.2653895951,0.1413806543
