Folder,Subfolder (H value),File,Central enthalpy,Central proper baryon density,Central proper energy density,Central pressure,Coordinate equatorial radius,Coordinate polar radius,Baryon mass,Gravitational mass,Omega,f,Rotation period,Compactness,Quadrupole moment Q,Angular momentum J,Moment of inertia,Circumferential equatorial radius,Circumferential polar radius,Surface area,Mean radius,Coordinate equatorial radius r_eq,Redshift at the equator (forward),Redshift at the equator (backward),Redshift at the pole
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.0600,result.txt,0.06,1.872312687,1.934871293,0.05321874466,13.77418032,13.77418032,0.3768902795,0.3715695193,0,0,N/A,0.03829430248,-6.697543232e-07,0,N/A,14.32833841,14.32833593,2579.891547,14.32833717,13.77418032,0.04064411866,0.04064411866,0.04064411866
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.0655,result.txt,0.0655,2.043944551,2.117617161,0.06468759178,13.39977273,13.39977273,0.4200653817,0.4129555677,0,0,N/A,0.04350637036,4.652572027e-07,0,N/A,14.01652598,14.01652803,2468.827238,14.01652701,13.39977273,0.04656927334,0.04656927334,0.04656927334
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.0709,result.txt,0.0709,2.210459324,2.295883903,0.07698642904,13.1006157,13.1006157,0.4615529638,0.4524888877,0,0,N/A,0.04849905125,4.517339107e-07,0,N/A,13.77731501,13.77731652,2385.278472,13.77731577,13.1006157,0.05233864451,0.05233864451,0.05233864451
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.0764,result.txt,0.0764,2.378794573,2.477084783,0.09057239067,12.84118724,12.84118724,0.5024474788,0.491226927,0,0,N/A,0.05342857525,-9.203913847e-07,0,N/A,13.57683328,13.57683106,2316.363767,13.57683217,12.84118724,0.0581317047,0.0581317047,0.0581317047
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.0818,result.txt,0.0818,2.54392122,2.655803259,0.1049586016,12.62289339,12.62289339,0.5407942078,0.5273848548,0,0,N/A,0.05805902274,3.480495756e-07,0,N/A,13.41367703,13.41368109,2261.026676,13.41367906,12.62289339,0.06365914677,0.06365914677,0.06365914677
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.0873,result.txt,0.0873,2.710842559,2.837451204,0.1206852514,12.42661169,12.42661169,0.5790673095,0.563271493,0,0,N/A,0.06267017624,-2.193745853e-07,0,N/A,13.27231772,13.27231608,2213.621424,13.2723169,12.42661169,0.0692536103,0.0692536103,0.0692536103
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.0927,result.txt,0.0927,2.873615566,3.015552974,0.1371841886,12.25092935,12.25092935,0.6150469556,0.5968476904,0,0,N/A,0.06703303573,9.352252818e-07,0,N/A,13.14814676,13.14814775,2172.395942,13.14814725,12.25092935,0.07462761048,0.07462761048,0.07462761048
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.0982,result.txt,0.0982,3.038503233,3.196954594,0.1550717323,12.08208087,12.08208087,0.6509022367,0.6301015286,0,0,N/A,0.07140698741,-1.906472096e-06,0,N/A,13.03045964,13.03045666,2133.679749,13.03045815,12.08208087,0.08009530591,0.08009530591,0.08009530591
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1036,result.txt,0.1036,3.199707927,3.375273672,0.1737038239,11.93376007,11.93376007,0.6845623652,0.6612221411,0,0,N/A,0.07551515852,1.417645987e-06,0,N/A,12.93013807,12.93014056,2100.952688,12.93013932,11.93376007,0.08530942762,0.08530942762,0.08530942762
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1091,result.txt,0.1091,3.36319664,3.557107478,0.193777861,11.78771577,11.78771577,0.7180312739,0.691975311,0,0,N/A,0.07963359767,5.115328972e-07,0,N/A,12.83169937,12.83170074,2069.084668,12.83170005,11.78771577,0.09061449698,0.09061449698,0.09061449698
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1145,result.txt,0.1145,3.523042446,3.735861225,0.2145708048,11.65261547,11.65261547,0.7499592605,0.7211719923,0,0,N/A,0.08357839963,-7.958995627e-07,0,N/A,12.74191531,12.74191264,2040.230338,12.74191397,11.65261547,0.09576891393,0.09576891393,0.09576891393
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1200,result.txt,0.12,3.685274977,3.918275521,0.236860413,11.52316877,11.52316877,0.7813239669,0.7497425118,0,0,N/A,0.08747310087,6.319196378e-07,0,N/A,12.65690521,12.65690393,2013.097805,12.65690457,11.52316877,0.100928594,0.100928594,0.100928594
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1255,result.txt,0.1255,3.847025959,4.101151466,0.2602802191,11.39483424,11.39483424,0.8119096506,0.7774242597,0,0,N/A,0.09131699172,-2.813358032e-06,0,N/A,12.57176939,12.57176939,1986.107155,12.57176939,11.39483424,0.1060924056,0.1060924056,0.1060924056
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1309,result.txt,0.1309,4.005446686,4.281241064,0.2843825223,11.28062164,11.28062164,0.8405841279,0.803346176,0,0,N/A,0.09491816682,3.709451597e-06,0,N/A,12.49808005,12.49808831,1962.893582,12.49808418,11.28062164,0.1109979823,0.1109979823,0.1109979823
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1364,result.txt,0.1364,4.166348187,4.465150344,0.3100690412,11.16506521,11.16506521,0.8693682751,0.8291852276,0,0,N/A,0.09856264734,1.58114676e-06,0,N/A,12.42307507,12.4230755,1939.403156,12.42307528,11.16506521,0.1160300977,0.1160300977,0.1160300977
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1418,result.txt,0.1418,4.323994858,4.646324116,0.3364147385,11.05239931,11.05239931,0.8970234369,0.8538479144,0,0,N/A,0.1021008725,-6.554325628e-06,0,N/A,12.34926134,12.34924915,1916.423106,12.34925525,11.05239931,0.1209822556,0.1209822556,0.1209822556
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1473,result.txt,0.1473,4.484279642,4.831536401,0.3644052425,10.94564239,10.94564239,0.9237056005,0.8776334043,0,0,N/A,0.1055368867,-1.450172673e-06,0,N/A,12.28001168,12.28001005,1894.991934,12.28001086,10.94564239,0.1258540907,0.1258540907,0.1258540907
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1527,result.txt,0.1527,4.641420868,5.014108572,0.3930327171,10.84439225,10.84439225,0.9491272704,0.9002047341,0,0,N/A,0.1088322136,3.748238107e-06,0,N/A,12.21444513,12.21445121,1874.811316,12.21444817,10.84439225,0.1305861529,0.1305861529,0.1305861529
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1582,result.txt,0.1582,4.801280671,5.200854301,0.4233680433,10.74278724,10.74278724,0.974382525,0.9225070757,0,0,N/A,0.1121365729,5.531946157e-06,0,N/A,12.14821138,12.14822144,1854.534443,12.14821641,10.74278724,0.1353914625,0.1353914625,0.1353914625
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1636,result.txt,0.1636,4.958053001,5.384994138,0.45431869,10.64377988,10.64377988,0.9987442468,0.9438772465,0,0,N/A,0.1153513233,-2.982971283e-07,0,N/A,12.08322462,12.08322675,1834.744685,12.08322569,10.64377988,0.1401258494,0.1401258494,0.1401258494
Nrotstar_(BPAL100)_(0.06-0.6)_stat_nrot,0.1691,result.txt,0.1691,5.117604804,5.573422822,0.4870421055,10.54637764,10.54637764,1.022797271,0.9648970033,0,0,N/A,0.1185465383,-5.617142232e-06,0,N/A,12.01937802,12.01936943,1815.405063,12.01937372,10.54637764,0.1448910938,0.1448910938,0.1448910938
