Folder,Subfolder (H value),File,Central enthalpy,Central proper baryon density,Central proper energy density,Central pressure,Coordinate equatorial radius,Coordinate polar radius,Baryon mass,Gravitational mass,Omega,f,Rotation period,Compactness,Quadrupole moment Q,Angular momentum J,Moment of inertia,Circumferential equatorial radius,Circumferential polar radius,Surface area,Mean radius,Coordinate equatorial radius r_eq,Redshift at the equator (forward),Redshift at the equator (backward),Redshift at the pole
Nrotstar_(Balberg100)_(0.08-0.7)_stat_nrot,0.0800,result.txt,0.08,2.213608343,2.300251225,0.09772206546,12.60946765,12.60946765,0.5632884853,0.5483091313,0,0,N/A,0.06027961955,1.601258793e-06,0,N/A,13.43213008,13.4321334,2267.251769,13.43213174,12.60946765,0.066341593,0.066341593,0.066341593
Nrotstar_(Balberg100)_(0.08-0.7)_stat_nrot,0.0863,result.txt,0.0863,2.330747494,2.427544377,0.1132811245,12.44275954,12.44275954,0.6204079788,0.6016496913,0,0,N/A,0.0665651368,-1.633508488e-06,0,N/A,13.34709595,13.34709189,2238.635039,13.34709392,12.44275954,0.07404802114,0.07404802114,0.07404802114
Nrotstar_(Balberg100)_(0.08-0.7)_stat_nrot,0.0925,result.txt,0.0925,2.441856321,2.549042005,0.1294622826,12.30545978,12.30545978,0.6752320462,0.6525206181,0,0,N/A,0.07251506098,-9.606051065e-07,0,N/A,13.28788729,13.28789098,2218.818896,13.28788913,12.30545978,0.08149416249,0.08149416249,0.08149416249
Nrotstar_(Balberg100)_(0.08-0.7)_stat_nrot,0.0988,result.txt,0.0988,2.551693266,2.669902627,0.1467725238,12.1880203,12.1880203,0.7303172451,0.7032901965,0,0,N/A,0.07838835495,-8.239399148e-07,0,N/A,13.24868963,13.2486855,2205.74641,13.24868757,12.1880203,0.08900201664,0.08900201664,0.08900201664
Nrotstar_(Balberg100)_(0.08-0.7)_stat_nrot,0.1051,result.txt,0.1051,2.658616433,2.788300047,0.1649487447,12.07979521,12.07979521,0.7839201379,0.7523635865,0,0,N/A,0.08406322967,2.00361233e-06,0,N/A,13.21635239,13.21635524,2194.993191,13.21635382,12.07979521,0.09640685518,0.09640685518,0.09640685518
Nrotstar_(Balberg100)_(0.08-0.7)_stat_nrot,0.1113,result.txt,0.1113,2.761054436,2.902442421,0.183671438,11.97955944,11.97955944,0.8361850443,0.799838398,0,0,N/A,0.08954758629,-3.434967111e-06,0,N/A,13.18980207,13.18979517,2186.181395,13.18979862,11.97955944,0.1037066638,0.1037066638,0.1037066638
Nrotstar_(Balberg100)_(0.08-0.7)_stat_nrot,0.1176,result.txt,0.1176,2.863031269,3.01678382,0.2035368704,11.88775411,11.88775411,0.8874754683,0.8462006395,0,0,N/A,0.09487953864,3.203529979e-06,0,N/A,13.17014929,13.17015544,2179.673593,13.17015237,11.88775411,0.1109452169,0.1109452169,0.1109452169
Nrotstar_(Balberg100)_(0.08-0.7)_stat_nrot,0.1238,result.txt,0.1238,2.961286183,3.12764242,0.2239101604,11.80104685,11.80104685,0.9371954989,0.890816307,0,0,N/A,0.1000110672,3.293866686e-06,0,N/A,13.15315718,13.15315995,2174.05224,13.15315857,11.80104685,0.1180497195,0.1180497195,0.1180497195
Nrotstar_(Balberg100)_(0.08-0.7)_stat_nrot,0.1301,result.txt,0.1301,3.059049118,3.238637583,0.2454427694,11.712991,11.712991,0.9869830234,0.9351357411,0,0,N/A,0.1051348192,-7.065032464e-06,0,N/A,13.13463466,13.13462544,2167.931491,13.13463005,11.712991,0.1252811203,0.1252811203,0.1252811203
Nrotstar_(Balberg100)_(0.08-0.7)_stat_nrot,0.1364,result.txt,0.1364,3.155202806,3.348496073,0.2678088852,11.63388334,11.63388334,1.034880322,0.9776287595,0,0,N/A,0.1100153269,1.958482958e-06,0,N/A,13.12232194,13.12232127,2163.870263,13.1223216,11.63388334,0.1322995889,0.1322995889,0.1322995889
