Folder,Subfolder (H value),File,Central enthalpy,Central proper baryon density,Central proper energy density,Central pressure,Coordinate equatorial radius,Coordinate polar radius,Baryon mass,Gravitational mass,Omega,f,Rotation period,Compactness,Quadrupole moment Q,Angular momentum J,Moment of inertia,Circumferential equatorial radius,Circumferential polar radius,Surface area,Mean radius,Coordinate equatorial radius r_eq,Redshift at the equator (forward),Redshift at the equator (backward),Redshift at the pole
Nrotstar_(FPS100)_(0.04-0.9)_4499Hz_nrot,0.1000,result.txt,0.1,3.55520533,3.725045084,0.204064454,13.27265915,9.262045631,0.7131140269,0.6863656207,4498.76068,716,1.396648045,0.07075905542,-0.07265255754,0.2901013621,0.5676662686,14.32397019,12.23389473,2047.596016,12.7648938,13.27265915,-0.1466748607,0.3686722813,0.1092179895
Nrotstar_(FPS100)_(0.04-0.9)_4499Hz_nrot,0.1081,result.txt,0.1081,3.740365476,3.930504432,0.2368580083,12.48632597,9.213328466,0.7714151159,0.7392797797,4498.76068,716,1.396648045,0.08013541154,-0.07298869978,0.3163309309,0.6189919201,13.62304745,11.93859276,1930.823716,12.39556652,12.48632597,-0.128805922,0.3713711405,0.119171866
Nrotstar_(FPS100)_(0.04-0.9)_4499Hz_nrot,0.1162,result.txt,0.1162,3.919355839,4.130733988,0.2715668129,11.9938252,9.166322269,0.8283803965,0.7905218484,4498.76068,716,1.396648045,0.08835194783,-0.07293339901,0.3421593131,0.6695325355,13.21258098,11.76319358,1861.268225,12.1702514,11.9938252,-0.1157162337,0.3786409572,0.1290380455
Nrotstar_(FPS100)_(0.04-0.9)_4499Hz_nrot,0.1242,result.txt,0.1242,4.090695797,4.323953943,0.3077048614,11.6407821,9.119922492,0.8827350129,0.8390412654,4498.76068,716,1.396648045,0.0957703177,-0.07270383381,0.3669434684,0.7180298222,12.93725998,11.64585686,1814.549907,12.0165425,11.6407821,-0.1050243159,0.3876922036,0.1386067676
Nrotstar_(FPS100)_(0.04-0.9)_4499Hz_nrot,0.1323,result.txt,0.1323,4.259295061,4.515621152,0.3461541911,11.35409485,9.072249365,0.9363585568,0.8864949715,4498.76068,716,1.396648045,0.102860884,-0.07231912306,0.3915410071,0.7661619402,12.72670382,11.5562699,1778.780086,11.89751326,11.35409485,-0.0953644781,0.397855164,0.1482098367
Nrotstar_(FPS100)_(0.04-0.9)_4499Hz_nrot,0.1404,result.txt,0.1404,4.424098671,4.704497639,0.3864631228,11.11154412,9.022450278,0.9887589801,0.9324450639,4498.76068,716,1.396648045,0.1096462135,-0.07176193851,0.4157230435,0.8134810092,12.55797254,11.48462379,1750.17731,11.80146962,11.11154412,-0.08642023114,0.4086318292,0.1577571845
Nrotstar_(FPS100)_(0.04-0.9)_4499Hz_nrot,0.1485,result.txt,0.1485,4.585601324,4.891096465,0.4286266039,10.90580813,8.973180591,1.038931595,0.9761637917,4498.76068,716,1.396648045,0.1160374842,-0.07123403491,0.4388623554,0.8587596896,12.42265154,11.42726586,1727.244217,11.72389558,10.90580813,-0.07817732567,0.4196464973,0.167073996
Nrotstar_(FPS100)_(0.04-0.9)_4499Hz_nrot,0.1566,result.txt,0.1566,4.744323997,5.075975295,0.4726430802,10.72097849,8.922429722,1.087895152,1.018437264,4498.76068,716,1.396648045,0.1222086441,-0.07056658119,0.4614968608,0.9030505718,12.30615183,11.3772682,1707.382352,11.65629317,10.72097849,-0.07027158336,0.4309127897,0.1763423273
Nrotstar_(FPS100)_(0.04-0.9)_4499Hz_nrot,0.1646,result.txt,0.1646,4.898860614,5.257433451,0.5179384363,10.55657839,8.871619067,1.134535573,1.058403108,4498.76068,716,1.396648045,0.1280404861,-0.06975920895,0.4829370023,0.9450043393,12.20657167,11.3338834,1690.266649,11.59772159,10.55657839,-0.0628122169,0.4421013497,0.1853516975
Nrotstar_(FPS100)_(0.04-0.9)_4499Hz_nrot,0.1727,result.txt,0.1727,5.053221512,5.440149676,0.5656520903,10.40379147,8.819553503,1.180165926,1.097205967,4498.76068,716,1.396648045,0.1337171781,-0.06880910826,0.5037963569,0.9858216312,12.11688179,11.29414284,1674.750316,11.5443664,10.40379147,-0.05552462056,0.4534409362,0.1943457121
