Folder,Subfolder (H value),File,Central enthalpy,Central proper baryon density,Central proper energy density,Central pressure,Coordinate equatorial radius,Coordinate polar radius,Baryon mass,Gravitational mass,Omega,f,Rotation period,Compactness,Quadrupole moment Q,Angular momentum J,Moment of inertia,Circumferential equatorial radius,Circumferential polar radius,Surface area,Mean radius,Coordinate equatorial radius r_eq,Redshift at the equator (forward),Redshift at the equator (backward),Redshift at the pole
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.0600,result.txt,0.06,1.446921261,1.494681098,0.04171277651,15.66439947,15.66439947,0.4195762632,0.4138499053,0,0,N/A,0.03753511046,-1.601208216e-06,0,N/A,16.2815248,16.28152045,3331.19379,16.28152263,15.66439947,0.0397917285,0.0397917285,0.0397917285
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.0663,result.txt,0.0663,1.567056287,1.622644157,0.05182950251,15.13702439,15.13702439,0.4806053719,0.4723488969,0,0,N/A,0.04402783863,-1.058500805e-06,0,N/A,15.84256335,15.84255889,3153.992431,15.84256112,15.13702439,0.04716564897,0.04716564897,0.04716564897
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.0725,result.txt,0.0725,1.680417522,1.744149689,0.06262314142,14.75513088,14.75513088,0.5399374086,0.5288409026,0,0,N/A,0.05023253721,1.812367608e-06,0,N/A,15.54639995,15.54640155,3037.173356,15.54640075,14.75513088,0.05436571408,0.05436571408,0.05436571408
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.0788,result.txt,0.0788,1.791010771,1.863431834,0.07442015416,14.44863398,14.44863398,0.6000097763,0.585622617,0,0,N/A,0.05642469398,2.550602616e-06,0,N/A,15.32634304,15.32634634,2951.800768,15.32634469,14.44863398,0.06169853361,0.06169853361,0.06169853361
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.0851,result.txt,0.0851,1.89817258,1.979743524,0.08703602713,14.19445104,14.19445104,0.6596141685,0.6415341935,0,0,N/A,0.06249980913,-1.242568553e-06,0,N/A,15.15762056,15.15761951,2887.166942,15.15762004,14.19445104,0.06904545445,0.06904545445,0.06904545445
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.0913,result.txt,0.0913,2.000332408,2.091321716,0.10023774,13.98979717,13.98979717,0.7169572685,0.6950047326,0,0,N/A,0.06826163706,-5.140802559e-07,0,N/A,15.03491495,15.03491556,2840.611448,15.03491525,13.98979717,0.07615350847,0.07615350847,0.07615350847
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.0976,result.txt,0.0976,2.101678758,2.202705369,0.114441043,13.81137346,13.81137346,0.7740680343,0.747924147,0,0,N/A,0.07393634201,2.70948315e-06,0,N/A,14.93789863,14.93790037,2804.070512,14.9378995,13.81137346,0.08329768141,0.08329768141,0.08329768141
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.1038,result.txt,0.1038,2.198863379,2.310185063,0.1291868194,13.64495898,13.64495898,0.8297623813,0.7990956645,0,0,N/A,0.07945957318,-6.959481634e-06,0,N/A,14.85054731,14.85054141,2771.370634,14.85054436,13.64495898,0.09039093339,0.09039093339,0.09039093339
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.1101,result.txt,0.1101,2.29585704,2.418126109,0.1449450521,13.50443901,13.50443901,0.8843352222,0.8490517985,0,0,N/A,0.08478798386,1.293835153e-06,0,N/A,14.78733089,14.78732805,2747.826849,14.78732947,13.50443901,0.09736292238,0.09736292238,0.09736292238
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.1164,result.txt,0.1164,2.390778863,2.524429238,0.1614797055,13.36395338,13.36395338,0.9384185582,0.8981198826,0,0,N/A,0.09007927607,-7.764836867e-06,0,N/A,14.72310254,14.72309595,2724.007778,14.72309925,13.36395338,0.1044199229,0.1044199229,0.1044199229
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.1226,result.txt,0.1226,2.482921329,2.628266968,0.1785071471,13.24388636,13.24388636,0.9892960109,0.9441430756,0,0,N/A,0.09500742087,9.488719355e-06,0,N/A,14.67473262,14.67474856,2706.142922,14.67474059,13.24388636,0.1111190939,0.1111190939,0.1111190939
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.1289,result.txt,0.1289,2.574935343,2.732609969,0.1965756078,13.12373107,13.12373107,1.040677092,0.9902227258,0,0,N/A,0.09997153178,4.509197077e-06,0,N/A,14.62670343,14.62670601,2688.4555,14.62670472,13.12373107,0.1179942675,0.1179942675,0.1179942675
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.1352,result.txt,0.1352,2.66584161,2.836348731,0.2154153451,13.00332755,13.00332755,1.091555372,1.035443081,0,0,N/A,0.1048903913,-2.38739939e-05,0,N/A,14.57741232,14.57738155,2670.360057,14.57739694,13.00332755,0.1249353091,0.1249353091,0.1249353091
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.1414,result.txt,0.1414,2.75409404,2.937690169,0.2347102978,12.90084341,12.90084341,1.138315696,1.077043485,0,0,N/A,0.1093827503,7.546815968e-06,0,N/A,14.54033165,14.54034141,2656.799496,14.54033653,12.90084341,0.1313845923,0.1313845923,0.1313845923
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.1477,result.txt,0.1477,2.844100254,3.041696454,0.2550852857,12.79664268,12.79664268,1.18526575,1.118478143,0,0,N/A,0.1138946132,2.008668195e-05,0,N/A,14.50154353,14.5015696,2642.646704,14.50155657,12.79664268,0.1379744122,0.1379744122,0.1379744122
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.1539,result.txt,0.1539,2.933236629,3.145340626,0.2759110277,12.69284976,12.69284976,1.231173245,1.158606723,0,0,N/A,0.1183083345,-1.90034687e-06,0,N/A,14.46140926,14.46140901,2628.03467,14.46140914,12.69284976,0.1445335267,0.1445335267,0.1445335267
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.1602,result.txt,0.1602,3.022879179,3.250226881,0.2978642446,12.59136,12.59136,1.276421175,1.197939938,0,0,N/A,0.1226545805,-2.410298461e-05,0,N/A,14.4225212,14.42249107,2613.914204,14.42250613,12.59136,0.1511046972,0.1511046972,0.1511046972
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.1665,result.txt,0.1665,3.111655493,3.354756097,0.3206179076,12.49703891,12.49703891,1.319028887,1.234958674,0,0,N/A,0.1267553016,5.73246422e-07,0,N/A,14.38719749,14.38719733,2601.131266,14.38719741,12.49703891,0.1574103979,0.1574103979,0.1574103979
Nrotstar_(Glendenning100)_(0.06-0.68)_stat_nrot,0.1727,result.txt,0.1727,3.198239678,3.457343415,0.343794822,12.40483535,12.40483535,1.359999853,1.27031926,0,0,N/A,0.1307083806,1.481894174e-05,0,N/A,14.35156828,14.35158616,2588.267317,14.35157722,12.40483535,0.1635889895,0.1635889895,0.1635889895
