Folder,Subfolder (H value),File,Central enthalpy,Central proper baryon density,Central proper energy density,Central pressure,Coordinate equatorial radius,Coordinate polar radius,Baryon mass,Gravitational mass,Omega,f,Rotation period,Compactness,Quadrupole moment Q,Angular momentum J,Moment of inertia,Circumferential equatorial radius,Circumferential polar radius,Surface area,Mean radius,Coordinate equatorial radius r_eq,Redshift at the equator (forward),Redshift at the equator (backward),Redshift at the pole
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.0400,result.txt,0.04,1.602194301,1.643554797,0.02402629301,18.72188092,18.49471639,0.1648106317,0.1648652133,276.4601535,44,22.72727273,0.01283628674,-0.0001756635467,0.002495543938,0.0794637191,18.96616534,18.85222407,4483.998843,18.88981975,18.72188092,-0.004703806804,0.03120377534,0.01324943284
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.0487,result.txt,0.0487,1.900349429,1.95518032,0.04000667776,14.51976484,14.45519046,0.2316237947,0.2304579426,276.4601535,44,22.72727273,0.02289822017,-0.000200202932,0.003731167919,0.1188087595,14.86208931,14.82973009,2767.615758,14.84048059,14.51976484,0.009453148447,0.03818236747,0.02381667363
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.0574,result.txt,0.0574,2.157802885,2.226637044,0.05864744812,13.00176116,12.96765966,0.3023441926,0.2991775696,276.4601535,44,22.72727273,0.03285359758,-0.0001720412807,0.005238836874,0.1668163223,13.44732836,13.43021944,2268.527821,13.43591114,13.00176116,0.02137968378,0.04792765928,0.03465193278
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.0661,result.txt,0.0661,2.385885535,2.469232385,0.07968916765,12.23424157,12.21064111,0.3753134756,0.369299589,276.4601535,44,22.72727273,0.04265240791,-0.0002080802681,0.006958064388,0.2215603843,12.78571982,12.77383689,2051.73679,12.77779426,12.23424157,0.03278285398,0.05856539708,0.04567161088
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.0747,result.txt,0.0747,2.594441864,2.692984712,0.1026842272,11.7937435,11.77529092,0.4465968424,0.4371532533,276.4601535,44,22.72727273,0.05185818649,-0.0002274909022,0.008743116457,0.2784004479,12.4481927,12.43887839,1945.31013,12.44197981,11.7937435,0.04355121352,0.06916883623,0.05635667066
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.0834,result.txt,0.0834,2.788800713,2.90332293,0.1280379419,11.49093332,11.47543156,0.5187672492,0.5051342216,276.4601535,44,22.72727273,0.06089684733,-0.0002597555571,0.01066091122,0.3394673368,12.24903556,12.24117842,1883.831038,12.24379479,11.49093332,0.05431252021,0.08003912849,0.06717147979
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.0921,result.txt,0.0921,2.974749844,3.106322548,0.1554146927,11.26310212,11.24995254,0.5907538613,0.5721852036,276.4601535,44,22.72727273,0.0696915213,-0.0002640623494,0.01267048421,0.4034566505,12.12401852,12.11731247,1845.792241,12.11954948,11.26310212,0.06503585472,0.09102039606,0.07802280802
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.1008,result.txt,0.1008,3.152117168,3.301640438,0.1847758038,11.0901818,11.07859903,0.6600900126,0.6362316757,276.4601535,44,22.72727273,0.07797024558,-0.000265846328,0.01465997134,0.4668063851,12.04970177,12.04378196,1823.383252,12.04575564,11.0901818,0.07538455743,0.1017163918,0.08854410931
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.1095,result.txt,0.1095,3.319628701,3.487718807,0.2160575628,10.94874818,10.9381333,0.727109231,0.6976408074,276.4601535,44,22.72727273,0.08582704298,-0.0002752731441,0.01662889454,0.529501318,12.00321649,11.99780397,1809.43739,11.99960218,10.94874818,0.08546447734,0.1121923481,0.09882091622
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.1182,result.txt,0.1182,3.479357624,3.666703387,0.249206394,10.81276038,10.80320658,0.7950475789,0.7590321056,276.4601535,44,22.72727273,0.09369515973,-0.0002888141791,0.01870131282,0.5954917666,11.96280169,11.95787368,1797.368896,11.95951806,10.81276038,0.09584288844,0.1229967047,0.1094111051
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.1269,result.txt,0.1269,3.634201499,3.841732185,0.2841894301,10.69981195,10.69086835,0.8591140217,0.8166287421,276.4601535,44,22.72727273,0.1009993253,-0.0002943584925,0.02067146037,0.6582256858,11.93977387,11.93517049,1790.517248,11.93670119,10.69981195,0.1057310347,0.1333287295,0.1195199069
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.1356,result.txt,0.1356,3.784585816,4.01320545,0.3209919683,10.58995725,10.58176692,0.9226056491,0.8730455179,276.4601535,44,22.72727273,0.1081694671,-0.0002904990793,0.02266618736,0.7217422695,11.91851398,11.91427715,1784.218694,11.91568766,10.58995725,0.1157016657,0.1437543445,0.1297167685
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.1442,result.txt,0.1442,3.929590389,4.179981572,0.3591476567,10.48763828,10.47993799,0.9837497939,0.9268651531,276.4601535,44,22.72727273,0.1150053346,-0.0003106006088,0.02461838125,0.7839045038,11.90113775,11.89711486,1779.062597,11.89845802,10.48763828,0.1254610381,0.1539702358,0.1397031127
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.1529,result.txt,0.1529,4.072568997,4.3458547,0.3995371188,10.39421539,10.38696645,1.042102321,0.9780048629,276.4601535,44,22.72727273,0.1214782722,-0.0002881689241,0.0264795443,0.8431681117,11.88864396,11.8848931,1775.380054,11.88613712,10.39421539,0.1349369956,0.1639032594,0.1494063173
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.1616,result.txt,0.1616,4.211813822,4.508809233,0.4417145793,10.29837556,10.29154769,1.100500016,1.028481925,276.4601535,44,22.72727273,0.1279135364,-0.0003085841802,0.02838100775,0.9037149751,11.87326253,11.86967747,1770.823149,11.87087313,10.29837556,0.144606238,0.174035474,0.1593056702
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.1703,result.txt,0.1703,4.348270897,4.669897029,0.4856760007,10.20690475,10.2004863,1.156548289,1.076580405,276.4601535,44,22.72727273,0.134059248,-0.0003116876031,0.03020866463,0.9619116713,11.85876888,11.85537189,1766.539798,11.85650752,10.20690475,0.1540746342,0.1839616761,0.1690013856
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.1790,result.txt,0.179,4.482326021,4.829532382,0.5314225208,10.12065044,10.11447977,1.209803293,1.122061379,276.4601535,44,22.72727273,0.139879009,-0.0003025390155,0.03194033995,1.017052099,11.84551592,11.84227289,1762.621427,11.84335073,10.12065044,0.1632588195,0.1935948741,0.1784087004
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.1877,result.txt,0.1877,4.613076168,4.98659208,0.5789529346,10.03585526,10.03001916,1.261468112,1.165811395,276.4601535,44,22.72727273,0.1455077948,-0.0002803065732,0.03362659157,1.070746135,11.83128593,11.82823791,1758.425671,11.82924633,10.03585526,0.1723565168,0.2031372319,0.1877273247
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.1964,result.txt,0.1964,4.741925988,5.142722502,0.6282659787,9.949930495,9.944398579,1.312685151,1.208633999,276.4601535,44,22.72727273,0.1510619191,-0.0003014740147,0.03531910341,1.12463951,11.81489108,11.81194159,1753.577041,11.81292627,9.949930495,0.1815499932,0.212777321,0.1971426383
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.2051,result.txt,0.2051,4.869289595,5.298400747,0.6793720261,9.866247697,9.860925387,1.361833771,1.249444247,276.4601535,44,22.72727273,0.1563894458,-0.000324345636,0.03693526888,1.176101846,11.79775448,11.79487301,1748.508015,11.79584023,9.866247697,0.1905780458,0.2222435883,0.2063883211
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.2137,result.txt,0.2137,4.993925978,5.452069131,0.7316653226,9.786980674,9.78187628,1.407865564,1.287524752,276.4601535,44,22.72727273,0.1613883328,-0.0003089946626,0.03843261029,1.223780556,11.78076152,11.77801307,1743.498768,11.77893134,9.786980674,0.1992416535,0.2313284331,0.2152607282
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.2224,result.txt,0.2224,5.111793758,5.598655945,0.7863369172,9.708600303,9.703688258,1.452759083,1.324422969,276.4601535,44,22.72727273,0.1662645448,-0.0002898935865,0.03988956685,1.270173322,11.76296946,11.7603471,1738.258885,11.76121792,9.708600303,0.2078791935,0.2403856288,0.2241066349
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.2311,result.txt,0.2311,5.231484222,5.748812093,0.8427807662,9.630719483,9.626036033,1.496526561,1.360075169,276.4601535,44,22.72727273,0.1710169474,-0.0002758079116,0.04130969822,1.315393492,11.74393597,11.74143863,1732.661515,11.74226649,9.630719483,0.2164824916,0.2494051586,0.2329165649
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.2398,result.txt,0.2398,5.353524536,5.903254166,0.901048355,9.554721205,9.550228455,1.538376865,1.393987624,276.4601535,44,22.72727273,0.1755774863,-0.0002503258167,0.0426535724,1.358185462,11.72411323,11.72175033,1726.840951,11.72252689,9.554721205,0.2249151655,0.2582442314,0.2415509582
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.2485,result.txt,0.2485,5.478085028,6.062262995,0.9611943241,9.476877995,9.472408907,1.58060413,1.427595487,276.4601535,44,22.72727273,0.1801424122,-0.0003411797223,0.04403789524,1.402265407,11.70251229,11.70001583,1720.462933,11.70085852,9.476877995,0.2335466104,0.2672895231,0.250387744
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.2572,result.txt,0.2572,5.608700653,6.230455263,1.023298389,9.403503601,9.399330864,1.619310168,1.458511027,276.4601535,44,22.72727273,0.1843852624,-0.0002976406833,0.04526184331,1.44123866,11.68082249,11.67851865,1714.12666,11.67929217,9.403503601,0.2417276403,0.2758606948,0.2587623689
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.2659,result.txt,0.2659,5.732215061,6.39088562,1.087388469,9.330507,9.326483092,1.656940294,1.48825672,276.4601535,44,22.72727273,0.1885159189,-0.0003067092708,0.04644981447,1.479066328,11.65788417,11.65563025,1707.411079,11.65639123,9.330507,0.2498575235,0.2843754196,0.2670831679
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.2745,result.txt,0.2745,5.845729559,6.539607738,1.152627464,9.259868599,9.255967037,1.692544882,1.516265462,276.4601535,44,22.72727273,0.1924489608,-0.000307029377,0.04755807771,1.514355917,11.63454987,11.63235145,1700.592978,11.63309457,9.259868599,0.257749431,0.2926387855,0.2751593251
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.2832,result.txt,0.2832,5.951829869,6.679822879,1.220461161,9.189905307,9.186116388,1.726806344,1.543138107,276.4601535,44,22.72727273,0.1962720839,-0.0002838586406,0.04860128493,1.547573976,11.61010575,11.60800283,1693.470139,11.60870673,9.189905307,0.2655670764,0.3008213073,0.2831572203
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.2919,result.txt,0.2919,6.052530759,6.814076171,1.290075576,9.121444224,9.117795514,1.759750846,1.568889604,276.4601535,44,22.72727273,0.1999730986,-0.000237509451,0.04959060374,1.579076107,11.58539172,11.58343422,1686.291998,11.58407759,9.121444224,0.2732747682,0.3088876779,0.2910428023
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.3006,result.txt,0.3006,6.158184719,6.956165921,1.361503065,9.052935503,9.049417714,1.792323837,1.594048671,276.4601535,44,22.72727273,0.2036273947,-0.0002301683043,0.05057311114,1.610361347,11.55993217,11.55804408,1678.901234,11.55866408,9.052935503,0.2810302087,0.3170029539,0.2989766667
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.3093,result.txt,0.3093,6.269228941,7.106809597,1.434833344,8.985218788,8.981807841,1.824005484,1.618311677,276.4601535,44,22.72727273,0.207192146,-0.0002415200978,0.05152339236,1.640620434,11.53396933,11.53210858,1671.374012,11.53272379,8.985218788,0.2887376857,0.325066661,0.3068607418
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.3180,result.txt,0.318,6.385782385,7.266308597,1.510159121,8.919644226,8.916324423,1.85398273,1.641246471,276.4601535,44,22.72727273,0.210603568,-0.0002241609581,0.05240218842,1.668603272,11.50795073,11.50616359,1663.853825,11.50674934,8.919644226,0.2962451501,0.3329193825,0.3145393471
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.3267,result.txt,0.3267,6.507100421,7.433773639,1.587576027,8.854919709,8.851718846,1.88297571,1.663240401,276.4601535,44,22.72727273,0.2139197939,-0.0002167233808,0.05324357703,1.695394973,11.48137673,11.47965214,1656.189668,11.48021717,8.854919709,0.3036728156,0.3406864522,0.3221352408
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.3354,result.txt,0.3354,6.620259863,7.591338501,1.667092754,8.789652384,8.786574919,1.912035327,1.684875201,276.4601535,44,22.72727273,0.2172197432,-0.0002842752165,0.05409865859,1.722622689,11.45403103,11.45222744,1648.300942,11.45284337,8.789652384,0.3111992776,0.3485559276,0.3298316913
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.3440,result.txt,0.344,6.730008543,7.745481759,1.747724508,8.728341193,8.725321968,1.937952585,1.704391235,276.4601535,44,22.72727273,0.2202585814,-0.0002641507302,0.05481291098,1.745366088,11.42684582,11.42511295,1640.496485,11.42569746,8.728341193,0.3182450286,0.3559178073,0.3370340584
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.3527,result.txt,0.3527,6.838903368,7.899754398,1.831349983,8.6658269,8.6658269,1.963301366,1.723247625,0,0,N/A,0.2232707055,-2.744050784e-05,0,N/A,11.39740175,11.39735566,1632.374576,11.39737871,8.6658269,0.34417875,0.34417875,0.34417875
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.3614,result.txt,0.3614,6.945661681,8.052321756,1.917046786,8.605521098,8.605521098,1.987985939,1.741559747,0,0,N/A,0.226197708,-2.947184203e-05,0,N/A,11.36946663,11.36941274,1624.381325,11.36943968,8.605521098,0.3513437592,0.3513437592,0.3513437592
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.3701,result.txt,0.3701,7.053958326,8.208451324,2.004829592,8.547127254,8.544346873,2.011921236,1.759254566,276.4601535,44,22.72727273,0.2290364941,-0.0002636777111,0.05680550358,1.808814708,11.34263385,11.34099798,1616.422953,11.3415542,8.547127254,0.3392656646,0.3778722222,0.3585172543
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.3788,result.txt,0.3788,7.163890175,8.368311765,2.094771203,8.488622097,8.485912506,2.034496206,1.775831297,276.4601535,44,22.72727273,0.231785337,-0.0002586501904,0.05738067135,1.82712934,11.3137261,11.31213657,1608.201746,11.31267558,8.488622097,0.3460625507,0.384965381,0.3654608655
Nrotstar_(SLy100)_(0.04-0.9)_44Hz_nrot,0.3875,result.txt,0.3875,7.271912803,8.526768415,2.186889477,8.431461888,8.428820709,2.055989143,1.791575977,276.4601535,44,22.72727273,0.2344401749,-0.0002435592372,0.05791085333,1.844011525,11.28478026,11.2832545,1599.993228,11.28376779,8.431461888,0.3527260453,0.3919171398,0.3722677253
