Folder,Subfolder (H value),File,Central enthalpy,Central proper baryon density,Central proper energy density,Central pressure,Coordinate equatorial radius,Coordinate polar radius,Baryon mass,Gravitational mass,Omega,f,Rotation period,Compactness,Quadrupole moment Q,Angular momentum J,Moment of inertia,Circumferential equatorial radius,Circumferential polar radius,Surface area,Mean radius,Coordinate equatorial radius r_eq,Redshift at the equator (forward),Redshift at the equator (backward),Redshift at the pole
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.0400,result.txt,0.04,1.602194301,1.643554797,0.02402629301,18.53049264,18.53049264,0.1646367274,0.1646902571,0,0,N/A,0.01295356561,-2.80446216e-09,0,N/A,18.77450482,18.77450431,4429.419719,18.77450457,18.53049264,0.01321177004,0.01321177004,0.01321177004
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.0487,result.txt,0.0487,1.900349429,1.95518032,0.04000667776,14.47579003,14.47579003,0.2313501546,0.2301895277,0,0,N/A,0.02294009357,2.275243514e-08,0,N/A,14.81768267,14.81768385,2759.119297,14.81768326,14.47579003,0.02375938166,0.02375938166,0.02375938166
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.0574,result.txt,0.0574,2.157802885,2.226637044,0.05864744812,12.97916503,12.97916503,0.3021007075,0.2989380265,0,0,N/A,0.03288350811,2.122614946e-07,0,N/A,13.42433969,13.42434174,2264.622388,13.42434071,12.97916503,0.03459854256,0.03459854256,0.03459854256
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.0661,result.txt,0.0661,2.385885535,2.469232385,0.07968916765,12.21978054,12.21978054,0.3750266601,0.3690210067,0,0,N/A,0.04267005707,-1.737084332e-06,0,N/A,12.77079045,12.77078391,2049.487147,12.77078718,12.21978054,0.04561023508,0.04561023508,0.04561023508
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.0747,result.txt,0.0747,2.594441864,2.692984712,0.1026842272,11.78288533,11.78288533,0.4462928458,0.4368599475,0,0,N/A,0.0518707304,1.617678842e-07,0,N/A,12.43683232,12.43683478,1943.701223,12.43683355,11.78288533,0.05629141166,0.05629141166,0.05629141166
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.0834,result.txt,0.0834,2.788800713,2.90332293,0.1280379419,11.48226505,11.48226505,0.518437892,0.5048196854,0,0,N/A,0.06090476713,5.932429147e-07,0,N/A,12.23981653,12.23982035,1882.607633,12.23981844,11.48226505,0.06710061904,0.06710061904,0.06710061904
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.0921,result.txt,0.0921,2.974749844,3.106322548,0.1554146927,11.25580636,11.25580636,0.5904242586,0.5718711486,0,0,N/A,0.06969839569,-6.258099527e-06,0,N/A,12.11616888,12.11615067,1844.75989,12.11615977,11.25580636,0.07795064499,0.07795064499,0.07795064499
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.1008,result.txt,0.1008,3.152117168,3.301640438,0.1847758038,11.0838558,11.0838558,0.6597582455,0.6359165048,0,0,N/A,0.07797619184,-3.286693071e-06,0,N/A,12.04281427,12.04280499,1822.491479,12.04280963,11.0838558,0.08847002801,0.08847002801,0.08847002801
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.1095,result.txt,0.1095,3.319628701,3.487718807,0.2160575628,10.94317745,10.94317745,0.7267539924,0.6973073161,0,0,N/A,0.08583016236,1.198239182e-05,0,N/A,11.9970426,11.9970727,1808.670085,11.99705765,10.94317745,0.09874145283,0.09874145283,0.09874145283
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.1182,result.txt,0.1182,3.479357624,3.666703387,0.249206394,10.8077758,10.8077758,0.7947006503,0.7587062719,0,0,N/A,0.09369863185,-6.059291049e-06,0,N/A,11.95722325,11.95720842,1796.67697,11.95721583,10.8077758,0.1093312004,0.1093312004,0.1093312004
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.1269,result.txt,0.1269,3.634201499,3.841732185,0.2841894301,10.69531732,10.69531732,0.8587476083,0.8162888247,0,0,N/A,0.101000631,8.700404385e-06,0,N/A,11.93464971,11.93466884,1789.904722,11.93465928,10.69531732,0.1194349871,0.1194349871,0.1194349871
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.1356,result.txt,0.1356,3.784585816,4.01320545,0.3209919683,10.58584124,10.58584124,0.9222520726,0.8727165464,0,0,N/A,0.1081716194,2.77265565e-06,0,N/A,11.91378592,11.91379312,1783.650296,11.91378952,10.58584124,0.1296321824,0.1296321824,0.1296321824
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.1442,result.txt,0.1442,3.929590389,4.179981572,0.3591476567,10.48386599,10.48386599,0.9833877146,0.9265310015,0,0,N/A,0.1150064044,-8.078864016e-06,0,N/A,11.8967365,11.89672079,1778.545482,11.89672865,10.48386599,0.1396152194,0.1396152194,0.1396152194
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.1529,result.txt,0.1529,4.072568997,4.3458547,0.3995371188,10.39072777,10.39072777,1.041738551,0.9776707678,0,0,N/A,0.1214788901,1.707786387e-05,0,N/A,11.88452224,11.88455748,1774.902933,11.88453986,10.39072777,0.1493162839,0.1493162839,0.1493162839
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.1616,result.txt,0.1616,4.211813822,4.508809233,0.4417145793,10.29513794,10.29513794,1.100136234,1.028149031,0,0,N/A,0.1279138665,-2.578117238e-06,0,N/A,11.86938882,11.86938312,1770.379488,11.86938597,10.29513794,0.1592139005,0.1592139005,0.1592139005
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.1703,result.txt,0.1703,4.348270897,4.669897029,0.4856760007,10.20389153,10.20389153,1.156194267,1.076256153,0,0,N/A,0.1340600138,-1.157654006e-05,0,N/A,11.85512946,11.85510794,1766.125974,11.8551187,10.20389153,0.1689091325,0.1689091325,0.1689091325
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.1790,result.txt,0.179,4.482326021,4.829532382,0.5314225208,10.11784389,10.11784389,1.209436208,1.12172955,0,0,N/A,0.1398784411,8.437140719e-06,0,N/A,11.8420609,11.84207914,1762.240238,11.84207002,10.11784389,0.1783123844,0.1783123844,0.1783123844
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.1877,result.txt,0.1877,4.613076168,4.98659208,0.5789529346,10.0332176,10.0332176,1.261110527,1.165487597,0,0,N/A,0.145507638,2.32463565e-05,0,N/A,11.8280126,11.82805709,1758.065512,11.82803484,10.0332176,0.1876307647,0.1876307647,0.1876307647
Nrotstar_(SLy100)_(0.04-0.9)_stat_nrot,0.1964,result.txt,0.1964,4.741925988,5.142722502,0.6282659787,9.947448881,9.947448881,1.312337005,1.208318079,0,0,N/A,0.1510621366,-4.537162589e-06,0,N/A,11.81178583,11.81177568,1753.236964,11.81178076,9.947448881,0.1970457775,0.1970457775,0.1970457775
