Central Density (g/cm^3),Radius (km),Mass (M_sun)
240000000000000.0,20.0,0.12008235031160217
274379853594643.22,20.0,0.1426760608128578
308759707189286.44,17.68493883082035,0.1707675199232308
343139560783929.7,15.368154380201174,0.204177250756119
377519414378572.94,13.989598147362889,0.2425630083907565
411899267973216.1,13.121940875816751,0.2855337544426279
446279121567859.4,12.558244746291624,0.33234975030461
480658975162502.6,12.176849012258598,0.38306903490143823
515038828757145.9,11.912230058405179,0.4380897653562856
549418682351789.06,11.728340584521883,0.49733697646555897
583798535946432.2,11.601682257575554,0.5601945790073508
618178389541075.5,11.515761209479155,0.6263534906648683
652558243135718.8,11.458821426521759,0.6951409232763224
686938096730362.0,11.422383242405374,0.7658113198388518
721317950325005.2,11.399486040147927,0.8375111176163257
755697803919648.5,11.385944835002178,0.9097210688253806
790077657514291.8,11.377573748139165,0.9814307280801111
824457511108934.9,11.372002564633272,1.0522763606228251
858837364703578.1,11.367417237548109,1.1216833017016767
893217218298221.4,11.362274923418989,1.1890895043770717
927597071892864.6,11.355746693194241,1.2542278461774061
961976925487507.9,11.347560804175783,1.316831020765482
996356779082151.1,11.336921809578104,1.3765350809007013
1030736632676794.2,11.323872219647583,1.4335001599070143
1065116486271437.5,11.308518002711338,1.4875083213738385
1099496339866080.8,11.290862114182305,1.538563537991829
1133876193460724.0,11.271015186534155,1.5866537018872107
1168256047055367.2,11.249178307620586,1.6318731047674355
1202635900650010.5,11.22515466883901,1.6744443986677213
1237015754244653.5,11.199819666846574,1.7140977470064056
1271395607839297.0,11.172911789239457,1.7510943637159397
1305775461433940.0,11.14478494089686,1.785687007484608
1340155315028583.5,11.115485460197185,1.8180563908575718
1374535168623226.5,11.085450869071542,1.8480049481800425
1408915022217869.8,11.05457935333868,1.875896297387352
1443294875812513.0,11.022917955957103,1.9018408000702731
1477674729407156.2,10.990929941740085,1.9257757865881646
1512054583001799.5,10.95893602239749,1.9480919231839604
1546434436596442.8,10.92619509639737,1.96877768312265
1580814290191086.0,10.89331452767087,1.9878656183034795
1615194143785729.2,10.860430494053185,2.0056077080659165
1649573997380372.5,10.82750643893588,2.0219697274371433
1683953850975015.8,10.79479799354481,2.03706569931524
1718333704569659.0,10.762048808974743,2.0510463928514184
1752713558164302.2,10.729588071810875,2.0638865194886526
1787093411758945.2,10.697433657110398,2.075751243349464
1821473265353588.5,10.665405430747388,2.0866837951051793
1855853118948231.8,10.633885363479557,2.09676755190161
1890232972542875.0,10.602304878783983,2.106043227860554
1924612826137518.2,10.571294455038668,2.1145262272228176
1958992679732161.5,10.540490397910014,2.122342740625298
1993372533326804.8,10.510365400818095,2.129520415812881
2027752386921448.0,10.480400220241298,2.1360812653601413
2062132240516091.2,10.450923919861891,2.1421005760779788
2096512094110734.5,10.421608480055474,2.1475428150182223
2130891947705377.8,10.392875355735063,2.152543374905146
2165271801300021.0,10.364574304225508,2.1570834715115077
2199651654894664.2,10.336620379781635,2.161187271073438
2234031508489307.2,10.309309395576234,2.1649256289989065
2268411362083950.5,10.282158377713987,2.1682300965178856
2302791215678594.0,10.255521648181958,2.17124027053132
2337171069273237.0,10.22922786090249,2.1739125255641287
2371550922867880.0,10.203247861418753,2.1762952208533446
2405930776462523.5,10.177979705942333,2.1784344285468653
2440310630057167.0,10.153000189921316,2.1802884708134407
2474690483651810.0,10.12832364043572,2.1818931748450234
2509070337246453.0,10.10412216279622,2.183301282212192
2543450190841096.5,10.080347731807601,2.1844617961134913
2577830044435739.5,10.056843899613577,2.185440862812034
2612209898030383.0,10.033559390441212,2.1862268830107174
2646589751625026.0,10.010802092874144,2.186897331239267
2680969605219669.5,9.988624739485276,2.1873429636836863
2715349458814312.5,9.96692594988992,2.1876349203108134
2749729312408956.0,9.945495221108436,2.1878398320886125
2784109166003599.0,9.923965267862803,2.1878731231133335
2818489019598242.5,9.90276361189452,2.1878185694439116
2852868873192885.5,9.882322868380804,2.18761756290529
2887248726787528.5,9.862115621784604,2.187317266235856
2921628580382172.0,9.84226981801284,2.1869460958612996
2956008433976815.0,9.822604302132751,2.186468612963805
2990388287571458.5,9.803101247336354,2.1858800457787497
3024768141166101.5,9.784209829078042,2.185249329015666
3059147994760745.0,9.765541534342503,2.1845252463063347
3093527848355388.0,9.746949179688016,2.1837093895678485
3127907701950031.5,9.728842631698134,2.1828798733076282
3162287555544674.5,9.710651292972926,2.1819220312148824
3196667409139318.0,9.693456049730491,2.180982861215749
3231047262733961.0,9.676231739692112,2.1799350483424047
3265427116328604.5,9.659385476062871,2.17888206002115
3299806969923247.5,9.64240468466765,2.1777119339937983
3334186823517890.5,9.625597466176062,2.1765348778219056
3368566677112534.0,9.6092967179205,2.175333954056869
3402946530707177.0,9.593172797561035,2.174075897391764
3437326384301820.5,9.577505214757208,2.1728458265182016
3471706237896463.5,9.561868489097728,2.1715118943341163
3506086091491107.0,9.546544789727944,2.170170513458357
3540465945085750.0,9.531353469321456,2.168782644678934
3574845798680393.5,9.516652372172379,2.167439211746271
3609225652275036.5,9.501873417914332,2.166007914295156
3643605505869680.0,9.487332134885012,2.1645491575210496
