Central Density (g/cm^3),Radius (km),Mass (M_sun)
240000000000000.0,17.11234204002914,0.20848339677155214
248086809890309.94,16.416001924263263,0.22495720373478273
256173619780619.88,15.858830290360949,0.2422118539895566
264260429670929.8,15.407716217651474,0.2602210967730955
272347239561239.75,15.039816784764664,0.27896124567286557
280434049451549.7,14.757278882943291,0.2969447902448707
288520859341859.6,14.523829785366964,0.3151724943545336
296607669232169.56,14.326942290742398,0.33377862803643277
304694479122479.5,14.160418252037973,0.35275288124732307
312781289012789.44,14.019054651789745,0.3720892305986251
320868098903099.4,13.898000354305784,0.39175211692060985
328954908793409.3,13.795061433206193,0.4115075240184112
337041718683719.25,13.708278959230674,0.4311727932293381
345128528574029.25,13.63299512494197,0.4510390450885356
353215338464339.1,13.567811418408391,0.4711112651631085
361302148354649.1,13.511127838163336,0.4913750727124731
369388958244959.0,13.4616238776632,0.511800306663702
377475768135269.0,13.418510198396323,0.5324128247324268
385562578025578.9,13.381218501217205,0.5528137961180462
393649387915888.9,13.348882965423837,0.5732400627427667
401736197806198.75,13.320301135300925,0.5937328739387955
409823007696508.75,13.294994398078343,0.6143062751189488
417909817586818.6,13.272542129611345,0.6349251719364954
425996627477128.6,13.252520340839949,0.6555859030959214
434083437367438.56,13.235108660466725,0.6763052749203583
442170247257748.5,13.219670909987618,0.6966819639364744
450257057148058.44,13.205829488888384,0.7170338613364495
458343867038368.4,13.193171703823841,0.7373617494946034
466430676928678.3,13.181822558731763,0.7576745703832815
474517486818988.25,13.171412315869983,0.7779492298282225
482604296709298.2,13.162301049747843,0.7982428691811201
490691106599608.1,13.153631806243297,0.8183741329358046
498777916489918.06,13.145629788625358,0.838167746197004
506864726380228.0,13.137978414863916,0.8578425630338936
514951536270537.94,13.130600813376693,0.8774568914253229
523038346160847.9,13.12431646735593,0.8970248259498382
531125156051157.8,13.117846754692419,0.9164676779263716
539211965941467.75,13.111602651842004,0.9358191771831947
547298775831777.7,13.10545920522609,0.9549689412544693
555385585722087.6,13.100076727151817,0.9737959414332863
563472395612397.5,13.093582004961679,0.9924052407206752
571559205502707.5,13.087811081794843,1.0109636334514511
579646015393017.5,13.082142120440746,1.0293780365445446
587732825283327.4,13.076320171362392,1.0476289245572301
595819635173637.2,13.07024121177908,1.0657474105970997
603906445063947.2,13.064079358267902,1.083665577819792
611993254954257.2,13.059047234658776,1.1012777146574881
620080064844567.1,13.052769058899248,1.1186313208136944
628166874734877.1,13.04608316123457,1.1358378219572731
636253684625187.0,13.039652773550227,1.152871667188745
644340494515497.0,13.033880853071764,1.1698200069224876
652427304405807.0,13.026498059923124,1.1865148077890724
660514114296116.9,13.019362631362027,1.2030360897451091
668600924186426.8,13.012997548392907,1.218362667295542
676687734076736.8,13.006431857697661,1.2333228222215127
684774543967046.8,12.999496564519887,1.248078956674477
692861353857356.6,12.993426072239936,1.26273732436098
700948163747666.5,12.98547930489995,1.2770107311690748
709034973637976.5,12.978433307862211,1.2911884706896815
717121783528286.5,12.97068927438947,1.305174890455586
725208593418596.4,12.964839925717813,1.3156836034831025
733295403308906.2,12.960041388622106,1.3223731221782453
741382213199216.2,12.957217484166115,1.329034187206262
749469023089526.2,12.952814357883653,1.3353446594514538
757555832979836.1,12.948864934098308,1.3415225256601677
765642642870146.0,12.944477751768245,1.3475021443332553
773729452760456.0,12.940465909366663,1.353291078766682
781816262650766.0,12.935264005084615,1.3588743121002378
789903072541075.9,12.93337012071186,1.3618366809659566
797989882431385.8,12.930675510786182,1.3645513372678417
806076692321695.8,12.927446528761296,1.3671259552165698
814163502212005.8,12.925612549994243,1.3696992385610063
822250312102315.6,12.923263428894817,1.3721469446153303
830337121992625.6,12.921418089372935,1.3745101512820461
838423931882935.5,12.918507926777412,1.3767571066366688
846510741773245.5,12.915930320638184,1.3789053769674584
854597551663555.4,12.913330416606332,1.3809323094237884
862684361553865.4,12.910993736325441,1.382849035430602
870771171444175.2,12.907900421191577,1.3847194822509592
878857981334485.2,12.905664715763233,1.3865682156841606
886944791224795.1,12.903436327611718,1.3883484472120182
895031601115105.1,12.900452230742474,1.3899406617328074
903118411005415.0,12.897936049687338,1.3915797485098123
911205220895725.0,12.893869026430039,1.393649076747813
919292030786034.9,12.890046858327844,1.3958718621730806
927378840676344.9,12.885802059103833,1.3980122804015407
935465650566654.8,12.881485485801303,1.4000185392795335
943552460456964.8,12.877226121570851,1.4019969081543253
951639270347274.6,12.872898024846059,1.4038648437811196
959726080237584.6,12.868203963527382,1.4056821318047206
967812890127894.5,12.863361475601069,1.4074630125999077
975899700018204.5,12.85840424529117,1.4096210281305563
983986509908514.4,12.851943472770259,1.4116214851379565
992073319798824.4,12.847157185537055,1.4136136497175749
1000160129689134.2,12.839783076487452,1.4155076686222978
1008246939579444.2,12.833571195058738,1.4173334918213507
1016333749469754.2,12.827330165941259,1.4191182585214936
1024420559360064.1,12.82126136904605,1.4208718561332414
1032507369250374.1,12.814195323082698,1.4226008306498454
1040594179140684.0,12.806688967175917,1.424482950317768
1048680989030994.0,12.798954742103726,1.4262967310438128
1056767798921303.9,12.791128681781784,1.4280558909943315
1064854608811613.9,12.783278138314742,1.4297499229512485
1072941418701923.8,12.77507250292454,1.4314019947786765
1081028228592233.8,12.767446419148579,1.433012132571812
1089115038482543.6,12.758698661139698,1.4344363634664334
1097201848372853.6,12.750414081803829,1.4361826949135663
1105288658263163.5,12.741142023711921,1.437819489646878
1113375468153473.5,12.7320732937623,1.439447499256195
1121462278043783.4,12.722165090599509,1.4409066455478263
1129549087934093.5,12.713091286404769,1.4424609893548748
1137635897824403.2,12.703105855045834,1.4439314423519467
1145722707714713.2,12.693854059162394,1.4453445028474512
1153809517605023.0,12.684110429320159,1.4467490794614337
1161896327495333.0,12.673769860791058,1.448197254698861
1169983137385643.0,12.66311177215282,1.4496498180006165
1178069947275953.0,12.652026919045865,1.451015284202728
1186156757166263.0,12.641392191129956,1.4524304004021376
1194243567056573.0,12.630657727922227,1.4537745087208982
1202330376946882.8,12.619719451644329,1.4551002252172098
1210417186837192.8,12.608533689163083,1.4563073087477991
1218503996727502.5,12.597774007706047,1.4576231528109593
1226590806617812.5,12.586082158675792,1.458917262225736
1234677616508122.5,12.574168343143633,1.4602053214433433
1242764426398432.5,12.562229690087154,1.4614553036816682
1250851236288742.5,12.550247514315895,1.4626995073056335
1258938046179052.5,12.537973161717721,1.4638526964488718
1267024856069362.2,12.526339410030399,1.4651148176183248
1275111665959672.2,12.513986504649505,1.4662577193875275
