Central Density (g/cm^3),Radius (km),Mass (M_sun)
240000000000000.0,17.404946624597354,0.18618138168868048
248086809890309.94,16.41365936519772,0.20458407386023772
256173619780619.88,15.684597747535866,0.22384355704997577
264260429670929.8,15.141242565084685,0.24365339266304192
272347239561239.75,14.73160500413745,0.26369697655983576
280434049451549.7,14.418991612766654,0.2836961552148938
288520859341859.6,14.176166752753046,0.30355820539691636
296607669232169.56,13.983798314049338,0.323293025904283
304694479122479.5,13.828725643505635,0.3429457838724368
312781289012789.44,13.701432495311066,0.3625880257540477
320868098903099.4,13.595600389580596,0.3823170831753286
328954908793409.3,13.506597614066003,0.4022312550039431
337041718683719.25,13.431034140855777,0.422374478598594
345128528574029.25,13.366997012453298,0.44274212020427783
353215338464339.1,13.312397882604781,0.4632838207018839
361302148354649.1,13.266020831098011,0.4839787674362887
369388958244959.0,13.22651017770048,0.504774668017199
377475768135269.0,13.192886921606085,0.5256368779810302
385562578025578.9,13.164347681629282,0.5465206512567373
393649387915888.9,13.140133215374435,0.5674089975812464
401736197806198.75,13.119225222882559,0.5882690390993512
409823007696508.75,13.101515484536646,0.6091312993175508
417909817586818.6,13.086401242369016,0.6299576885779528
425996627477128.6,13.073494257060952,0.6507557190964793
434083437367438.56,13.062180517130473,0.6714920459791227
442170247257748.5,13.052712956531678,0.692214287166936
450257057148058.44,13.04436456401322,0.7128630479261171
458343867038368.4,13.037315369586551,0.7334629558467745
466430676928678.3,13.031112415271183,0.7539772252706052
474517486818988.25,13.025683320245118,0.7743834175835649
482604296709298.2,13.020778089158386,0.7946846211254719
490691106599608.1,13.016499147672066,0.8148716247868164
498777916489918.06,13.012478365956161,0.8349213998165365
506864726380228.0,13.00888445970069,0.8548437955479531
514951536270537.94,13.00531673858601,0.8746125440887408
523038346160847.9,13.002248329130168,0.8942708427568383
531125156051157.8,12.999045824628677,0.9137618108570678
539211965941467.75,12.996160219702544,0.9331380091146055
547298775831777.7,12.993174535128414,0.9523563148339993
555385585722087.6,12.989913160208394,0.9713815304037428
563472395612397.5,12.987201063881134,0.990330775273164
571559205502707.5,12.98394804279568,1.009030102523901
579646015393017.5,12.980454408777877,1.0275238660105792
587732825283327.4,12.977362565944857,1.0458509061942203
595819635173637.2,12.973840629396534,1.0639182688690236
603906445063947.2,12.969689617475437,1.0816892878704647
611993254954257.2,12.965889230706107,1.0992539596164996
620080064844567.1,12.961750623922853,1.1165955024177774
628166874734877.1,12.957676237239852,1.1337691990401415
636253684625187.0,12.953516667988112,1.1508091571024897
644340494515497.0,12.948910998915375,1.1677300059802425
652427304405807.0,12.943951307981042,1.1845656818716777
660514114296116.9,12.93872932119549,1.2013613888638106
668600924186426.8,12.933173669386962,1.2181274808136375
676687734076736.8,12.927616813073447,1.2347059776585314
684774543967046.8,12.921694108291694,1.250804158556385
692861353857356.6,12.915054857179323,1.2661883108760075
700948163747666.5,12.910502603398113,1.2807924427985993
709034973637976.5,12.904826005033549,1.2941850103998862
717121783528286.5,12.899417652858315,1.3062682879841052
725208593418596.4,12.894008746070357,1.3168592895368942
733295403308906.2,12.890166346750245,1.3260925092737006
741382213199216.2,12.886400871307233,1.3340222873062344
749469023089526.2,12.88240936226571,1.3407788786411472
757555832979836.1,12.87852669401592,1.3465660767719363
765642642870146.0,12.875410024835698,1.351578309653774
773729452760456.0,12.87310828323265,1.3559584869662054
781816262650766.0,12.87068803907575,1.3597965778980443
789903072541075.9,12.868084233867041,1.3631704654217454
797989882431385.8,12.865838832517792,1.366220290426825
806076692321695.8,12.863464106979409,1.3689455608714778
814163502212005.8,12.86157817386251,1.371463348524321
822250312102315.6,12.859358620519375,1.373736845277191
830337121992625.6,12.857435512488891,1.3758708343856436
838423931882935.5,12.855642465273602,1.3778877969212886
846510741773245.5,12.85335075574168,1.3797597090161822
854597551663555.4,12.851459568346044,1.381614860571215
862684361553865.4,12.849442712881784,1.3834106788008826
870771171444175.2,12.846946158724629,1.3851537192344119
878857981334485.2,12.844926850213165,1.3869518527695763
886944791224795.1,12.842553360281443,1.3887294516708184
895031601115105.1,12.839458929820186,1.390536825139037
903118411005415.0,12.836434748370834,1.392375900659158
911205220895725.0,12.833745511499055,1.3943097830358846
919292030786034.9,12.830430905805175,1.3962603637947264
927378840676344.9,12.82652133831129,1.3982155022526546
935465650566654.8,12.822788537500148,1.4002205094896432
943552460456964.8,12.818632792070147,1.4022172273927282
951639270347274.6,12.814099338612703,1.4042125284518165
959726080237584.6,12.809466536522542,1.4061863835912394
967812890127894.5,12.804302979224094,1.4081540802068786
975899700018204.5,12.799430577299907,1.4101441848216776
983986509908514.4,12.794084047051081,1.4120695205011164
992073319798824.4,12.788362092667692,1.413963049395558
1000160129689134.2,12.782429092245339,1.4158419856771325
1008246939579444.2,12.776463259605327,1.417710281221455
1016333749469754.2,12.770212715918595,1.4195430150165922
1024420559360064.1,12.763683374711688,1.421369257270899
1032507369250374.1,12.7560359698365,1.4231147101832098
1040594179140684.0,12.749895962420085,1.424925851338286
1048680989030994.0,12.742638963111096,1.4266570201758249
1056767798921303.9,12.735350101911358,1.428394199442115
1064854608811613.9,12.727827822670243,1.430099950399321
1072941418701923.8,12.719837855185148,1.4317578442615375
