Central Density (g/cm^3),Radius (km),Mass (M_sun)
240000000000000.0,20.0,0.09246378927145192
263337875751503.0,20.0,0.11086912982373909
286675751503006.0,20.0,0.13266972150745893
310013627254509.0,17.276050272814395,0.157278696796508
333351503006012.0,15.292788203703111,0.18387831668158802
356689378757515.0,14.106385832170924,0.21199211005827812
380027254509018.06,13.334035203056422,0.2415649894814323
403365130260521.06,12.81017016634058,0.2720084734737681
426703006012024.06,12.434944018177514,0.3035942756123046
450040881763527.06,12.16011224375202,0.33598090753473964
473378757515030.06,11.95338765651472,0.3692169860565209
496716633266533.1,11.795197431722954,0.40325428999674356
520054509018036.1,11.671938957002615,0.43794262870965006
543392384769539.1,11.575169796633958,0.47330662519972294
566730260521042.1,11.499210348084592,0.5090800569158328
590068136272545.1,11.43726759228755,0.5451478388047003
613406012024048.1,11.387953537181106,0.5815764837282585
636743887775551.1,11.34710756062022,0.618178466568317
660081763527054.1,11.313611150651996,0.6549476599230338
683419639278557.1,11.28527301064206,0.6917414179258556
706757515030060.1,11.261435178565268,0.7281278164857261
730095390781563.2,11.241082553852769,0.7638553768733877
753433266533066.2,11.222925300905487,0.7992974700750097
776771142284569.2,11.205926576237793,0.8344315731478729
800109018036072.2,11.190504172601758,0.8686342902743145
823446893787575.2,11.175908972848703,0.9018176455857071
846784769539078.2,11.161442288298721,0.9344550516472244
870122645290581.2,11.147573341872864,0.9665985513645337
893460521042084.2,11.133375654899153,0.998127451581185
916798396793587.2,11.119474244510524,1.027858026456052
940136272545090.2,11.105063038137601,1.0568585922846008
963474148296593.2,11.090234418271692,1.0851864095265182
986812024048096.2,11.075288094529855,1.1128941292771486
1010149899799599.2,11.059846225468835,1.1399465265143829
1033487775551102.2,11.043715852441904,1.1656098528457541
1056825651302605.2,11.02769368352661,1.1903541464337513
1080163527054108.2,11.01092060823167,1.2144254655398676
1103501402805611.2,10.993921370083562,1.237601553188347
1126839278557114.2,10.976359391677331,1.259766278791096
1150177154308617.2,10.958596874505247,1.2813205020611764
1173515030060120.2,10.940932777246832,1.3017597521661877
1196852905811623.5,10.922531574530597,1.3213123184651738
1220190781563126.5,10.903869059538797,1.3402257371878754
1243528657314629.5,10.884947739221188,1.3586077738212348
1266866533066132.5,10.865469943615414,1.3763620367641085
1290204408817635.5,10.84579318698503,1.393584284112645
1313542284569138.5,10.825697510008474,1.4102446481821627
1336880160320641.5,10.805641532244936,1.4259924314914505
1360218036072144.5,10.78605728185002,1.4409136565864762
1383555911823647.5,10.766010555122657,1.4553323050727456
1406893787575150.5,10.745668470044828,1.4692964033792117
1430231663326653.5,10.725247864551891,1.4827556400336888
1453569539078156.5,10.704260064883236,1.495727633907054
1476907414829659.5,10.683404988507165,1.5083858523334024
1500245290581162.5,10.662385035805489,1.520505818030131
1523583166332665.5,10.641236714714951,1.5322531306819767
1546921042084168.5,10.62063817470598,1.5432072966829868
1570258917835671.5,10.60017419799808,1.5537794258146498
1593596793587174.5,10.57909037074344,1.5640106692469915
1616934669338677.5,10.558356484255034,1.5739426613800536
1640272545090180.5,10.537417675956906,1.5834890784435844
1663610420841683.5,10.516290315698376,1.5926980940190887
1686948296593186.5,10.495201854998248,1.6015904032120334
1710286172344689.5,10.474072562549352,1.6101489525804449
