Central Density (g/cm^3),Radius (km),Mass (M_sun)
240000000000000.0,20.0,0.0922642793774656
263337875751503.0,20.0,0.11072455250174555
286675751503006.0,20.0,0.13269758537016774
310013627254509.0,17.239355476633044,0.15730433618149403
333351503006012.0,15.267520219496088,0.18396866657952135
356689378757515.0,14.084664423698372,0.2121451095079354
380027254509018.06,13.322010692878463,0.24163928591452555
403365130260521.06,12.799612078283443,0.2721906685748775
426703006012024.06,12.427613758437666,0.30369408613042165
450040881763527.06,12.153587370557888,0.33607535988574033
473378757515030.06,11.946818081721315,0.36927706818472866
496716633266533.1,11.790487860013464,0.40328758555853683
520054509018036.1,11.668165386747615,0.437998966308119
543392384769539.1,11.571795511279227,0.4733495510647959
566730260521042.1,11.495361763684322,0.5092450217178109
590068136272545.1,11.433937746983169,0.5455647080688593
613406012024048.1,11.38482341915406,0.5821585443209498
636743887775551.1,11.344458292765125,0.6188878069273778
660081763527054.1,11.311257110560058,0.6556181904959036
683419639278557.1,11.283763940697419,0.6922184461126513
706757515030060.1,11.260122201635484,0.7285624078683406
730095390781563.2,11.23954321396768,0.764532899329415
753433266533066.2,11.221473896801868,0.8000302338514371
776771142284569.2,11.205253848534776,0.834956381528811
800109018036072.2,11.189738232566787,0.8692239864775523
823446893787575.2,11.175316702475579,0.9027690622632996
846784769539078.2,11.161288021088613,0.9355404861200296
870122645290581.2,11.1472804410233,0.967492486787388
893460521042084.2,11.133073651875325,0.9985822688682965
916798396793587.2,11.119386313625403,1.0288051411272652
940136272545090.2,11.104941187167448,1.0581197885153761
963474148296593.2,11.090535344343348,1.086537994617441
986812024048096.2,11.075405833788256,1.1140393111509166
1010149899799599.2,11.06022411167196,1.1406436306945276
1033487775551102.2,11.044421328404962,1.1663545050063797
1056825651302605.2,11.028302236329296,1.1911838613462955
1080163527054108.2,11.011610770350845,1.2151313909472683
1103501402805611.2,10.994466814911952,1.2382116211408647
1126839278557114.2,10.977174803252522,1.260460264227367
1150177154308617.2,10.959412428855794,1.2819037161335893
1173515030060120.2,10.941333352994672,1.3025496896370656
1196852905811623.5,10.922929509721156,1.3224069984520452
1220190781563126.5,10.904057192918321,1.3415362830924844
1243528657314629.5,10.885215602796528,1.3599394320994131
1266866533066132.5,10.865743649243061,1.377643705639296
1290204408817635.5,10.846296016105118,1.394673018735522
1313542284569138.5,10.826605093706483,1.411052015847151
1336880160320641.5,10.806729015689033,1.4268018247251582
1360218036072144.5,10.786543962284583,1.4419267528363688
1383555911823647.5,10.766475325275518,1.4565170903167008
1406893787575150.5,10.745993954330658,1.4705310495802588
1430231663326653.5,10.725480448907692,1.4840098946891591
1453569539078156.5,10.704994038629835,1.4969762466984216
1476907414829659.5,10.684274249072505,1.5094448987305582
1500245290581162.5,10.66359680894083,1.5214444846085213
1523583166332665.5,10.642859972419638,1.5329925604557466
1546921042084168.5,10.621912579666132,1.5440936128561644
1570258917835671.5,10.60096987799294,1.5547822006825365
1593596793587174.5,10.579992379425091,1.5650706214328156
1616934669338677.5,10.559106734893454,1.5749731744057058
1640272545090180.5,10.538192286043683,1.5845084586879123
1663610420841683.5,10.517203162817788,1.5936969739700935
1686948296593186.5,10.496261649355013,1.602539583670524
1710286172344689.5,10.475327936246527,1.611057574261341
1733624048096192.5,10.454426340711422,1.6192595954409716
1756961923847695.5,10.433495133566275,1.6271682549226594
1780299799599198.5,10.412674356152015,1.6347827835517308
1803637675350701.5,10.39183709566892,1.6421286651359897
1826975551102204.5,10.371063204769348,1.6491927340095722
1850313426853707.5,10.35030343041734,1.655992888974737
1873651302605210.5,10.329651694439866,1.6625511484442843
1896989178356713.5,10.309070692794627,1.6688607922919967
1920327054108216.5,10.288582514338767,1.6749335762362725
1943664929859719.5,10.268216604521196,1.6807722082737178
1967002805611222.5,10.247804840078349,1.6863897513278858
1990340681362725.5,10.227700854826827,1.6917903926078321
2013678557114228.5,10.207669586243247,1.6969862163769704
2037016432865731.5,10.187747449336435,1.7019802265399628
2060354308617234.5,10.16792625618464,1.7067775616993346
2083692184368737.5,10.148223985449008,1.711387119890546
2107030060120240.5,10.128729838015627,1.7158111709413217
2130367935871743.8,10.10924141716985,1.720061322236172
2153705811623246.8,10.089983788356527,1.724144675373298
2177043687374749.8,10.070866783008366,1.7280618460081574
2200381563126252.8,10.051825961304528,1.7318109514026516
2223719438877755.8,10.033040076678008,1.735415981818748
2247057314629258.8,10.014344715919531,1.7388842675550682
2270395190380762.0,9.995841302125134,1.7421944009426749
2293733066132265.0,9.97733926845345,1.7453592927624897
2317070941883768.0,9.959193465375579,1.7484131803616814
2340408817635271.0,9.941080844850354,1.7513138816427682
2363746693386774.0,9.923275048337281,1.754116019089294
2387084569138277.0,9.905481316129356,1.7567804145314811
2410422444889780.0,9.887877937254407,1.7593340671996585
2433760320641283.0,9.870350670076423,1.761772739705836
2457098196392786.0,9.853099424934541,1.7641041752095832
2480436072144289.0,9.83593393540132,1.7663266143065266
2503773947895792.0,9.819046677348766,1.768449976793311
2527111823647295.0,9.802104983185604,1.7704727330745578
2550449699398798.0,9.78541815989842,1.7724079436693216
2573787575150301.0,9.768809086982376,1.7742500242137529
2597125450901804.0,9.752440932957107,1.7760051661874987
2620463326653307.0,9.736151852391354,1.777674648797034
2643801202404810.0,9.720054883018614,1.7792618608386748
2667139078156313.0,9.704088291650315,1.7807700419247317
2690476953907816.0,9.688249599797938,1.7822014117143279
2713814829659319.0,9.672540589307205,1.7835527431725566
2737152705410822.0,9.656981462449513,1.7848284077663725
2760490581162325.0,9.64147648893816,1.7860331276206995
2783828456913828.0,9.62628411340964,1.7871854662683948
2807166332665331.0,9.611226996600243,1.788288672139388
2830504208416834.0,9.596211702918346,1.7893141533040477
2853842084168337.0,9.581341482866334,1.7902740544654863
2877179959919840.0,9.56655080503488,1.7911668082585055
2900517835671343.0,9.551970361578872,1.7920206090437882
2923855711422846.0,9.537568487783851,1.792819404495315
2947193587174349.0,9.52314398436101,1.7935560966539008
2970531462925852.0,9.508988842844014,1.7942415292925786
2993869338677355.0,9.49490505243503,1.794880117731437
3017207214428858.0,9.48091983140968,1.7954723791864984
3040545090180361.0,9.466988162487727,1.7960136324583356
3063882965931864.0,9.453338057852864,1.796515116505669
3087220841683367.0,9.439753726387504,1.796973806808126
3110558717434870.0,9.426272426136254,1.7973905166799466
3133896593186373.0,9.412933829306732,1.7977762428229047
3157234468937876.0,9.399715753528703,1.7981133713471114
3180572344689379.0,9.38648166344593,1.7984061691476934
3203910220440882.0,9.3734630136622,1.7986645661900686
3227248096192385.0,9.360608570629033,1.798888437810832
3250585971943888.0,9.347764045039709,1.7990802164725956
3273923847695391.0,9.33511212149576,1.7992393242484166
3297261723446894.0,9.322541361620994,1.7993654264667474
3320599599198397.0,9.310080063014972,1.7994591833472509
3343937474949900.0,9.297757256851344,1.799524737403104
3367275350701403.0,9.285454665159012,1.7995568792802388
3390613226452906.0,9.273332203327826,1.7995640004578668
3413951102204409.0,9.261302962996558,1.7995449362897673
3437288977955912.0,9.249400935326749,1.7995005048317132
3460626853707415.0,9.237497286440036,1.799435567624443
3483964729458918.0,9.225793130470395,1.7993401265999005
3507302605210421.0,9.21411952669053,1.7992191695923407
3530640480961924.0,9.202627092761166,1.7990727297671931
3553978356713427.0,9.191208612226303,1.798904723680449
3577316232464930.0,9.179853339804461,1.7987155278693396
3600654108216433.0,9.16858117198466,1.798505355115264
3623991983967936.0,9.157419719778702,1.7982679816012759
3647329859719439.0,9.14629434762578,1.798018841386864
3670667735470942.0,9.135354445915217,1.7977531433970881
3694005611222445.0,9.124447177052133,1.797465067672669
3717343486973948.0,9.1136585027198,1.7971603725388325
3740681362725451.0,9.102938689104395,1.7968342807854876
3764019238476954.0,9.09234491564356,1.7965042288091042
3787357114228457.0,9.081822344685838,1.7961601739741224
3810694989979960.0,9.071395283350498,1.7957899533259594
3834032865731463.0,9.061094893254278,1.7954056343615659
3857370741482966.0,9.050690083655558,1.7950014860387355
3880708617234469.0,9.04053240170452,1.7945858951033562
3904046492985972.0,9.03037530023864,1.7941420306904934
3927384368737475.0,9.020333442084068,1.7937060031981138
3950722244488978.0,9.010411730385783,1.7932554449189575
3974060120240481.0,9.000557500052498,1.7927907502011369
3997397995991984.5,8.990735368322895,1.7923199499169817
4020735871743487.5,8.981048222347942,1.7918312841828756
4044073747494990.5,8.971386690431531,1.7913321761778016
4067411623246493.5,8.961786036501216,1.790822807573252
4090749498997996.5,8.952295041977095,1.7902996736920256
